,cash,fund_shares,fund_value,BTCUSDT_value,BTCUSDT_position_size,BTCUSDT_position_price,BTCUSDT_position_price_orig,BTCUSDT_position_upclosed,BTCUSDT_position_upopened,BTCUSDT_position_adjbase,BTCUSDT_position_updt
2024-01-09 13:53:00+00:00,95782.06904693882,5000000.0,0.01999866832371163,99993.34161855816,0.0896625909474394,46834.82241921563,46640.0,0.0,0.04675664582848126,,
2024-01-09 13:55:00+00:00,97971.00947538667,5000000.0,0.01999617224875661,99980.86124378305,0.04290594511895814,46834.82241921563,46834.82241921563,-0.04675664582848126,0.0,,
2024-01-09 13:55:00+00:00,97971.00947538667,5000000.0,0.01999617224875661,99980.86124378305,0.04290594511895814,46834.82241921563,46834.82241921563,-0.04675664582848126,0.0,,
2024-01-09 21:11:00+00:00,96323.08894475922,5000000.0,0.02000301140063919,100015.05700319595,0.07789668806319416,46952.096962522504,46834.82241921563,0.0,0.03499074294423603,,
2024-01-09 21:12:00+00:00,98369.89560368656,5000000.0,0.020007488488406288,100037.44244203143,0.034990742944236035,46952.096962522504,46952.096962522504,-0.04290594511895813,0.0,,
2024-01-09 21:12:00+00:00,98369.89560368656,5000000.0,0.020007488488406288,100037.44244203143,0.034990742944236035,46952.096962522504,46952.096962522504,-0.04290594511895813,0.0,,
2024-01-09 21:15:00+00:00,100008.62756521684,5000000.0,0.02000172551304337,100008.62756521684,6.938893903907228e-18,46952.096962522504,46952.096962522504,-0.03499074294423603,0.0,,
2024-01-09 21:15:00+00:00,100008.62756521684,5000000.0,0.02000172551304337,100008.62756521684,6.938893903907228e-18,46952.096962522504,46952.096962522504,-0.03499074294423603,0.0,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
2024-01-09 21:16:00+00:00,112292.46321049206,5000000.0,0.020007840240442012,100039.20120221007,-0.2624268775292178,46800.8654771993,46799.443200358444,0.0,-0.03499074294423603,,
