,side,size,price,exectype,status,valid,type,triggered,tradeid,transmit,histnotify,simulated,plen,parent,plimit,price_limit,trailamount,trailpercent,oco
1,Sell,-0.07265514042759104,43904.8,StopLimit,Submitted,2024-01-17 20:00:00+00:00,Sell,False,0,False,False,False,947,,,,,,
2,Buy,0.07265514042759104,44032.9,Stop,Submitted,2024-01-17 20:00:00+00:00,Buy,False,0,False,False,False,947,,,,,,
3,Buy,0.07265514042759104,43264.30000000001,Limit,Submitted,2024-01-17 20:00:00+00:00,Buy,False,0,True,False,False,947,,,,,,
1,Sell,-0.07265514042759104,43904.8,StopLimit,Accepted,2024-01-17 20:00:00+00:00,Sell,False,0,False,False,False,948,,,,,,
2,Buy,0.07265514042759104,44032.9,Stop,Accepted,2024-01-17 20:00:00+00:00,Buy,False,0,False,False,False,948,,,,,,
3,Buy,0.07265514042759104,43264.30000000001,Limit,Accepted,2024-01-17 20:00:00+00:00,Buy,False,0,True,False,False,948,,,,,,
1,Sell,-0.07265514042759104,43904.8,StopLimit,Completed,2024-01-17 20:00:00+00:00,Sell,True,0,False,False,False,948,,,,,,
4,Buy,0.07265514042759104,44032.9,StopLimit,Submitted,2024-01-17 20:00:00+00:00,Buy,False,0,False,False,False,1027,,,,,,
5,Sell,-0.07265514042759104,43904.8,Stop,Submitted,2024-01-17 20:00:00+00:00,Sell,False,0,False,False,False,1027,,,,,,
6,Sell,-0.07265514042759104,44673.399999999994,Limit,Submitted,2024-01-17 20:00:00+00:00,Sell,False,0,True,False,False,1027,,,,,,
4,Buy,0.07265514042759104,44032.9,StopLimit,Accepted,2024-01-17 20:00:00+00:00,Buy,False,0,False,False,False,1028,,,,,,
5,Sell,-0.07265514042759104,43904.8,Stop,Accepted,2024-01-17 20:00:00+00:00,Sell,False,0,False,False,False,1028,,,,,,
6,Sell,-0.07265514042759104,44673.399999999994,Limit,Accepted,2024-01-17 20:00:00+00:00,Sell,False,0,True,False,False,1028,,,,,,
