timeframe,date,open,close,high,low,volume
1min,2023-08-09 20:40:00,29486.0,29486.02,29491.89,29485.99,13.75044
1min,2023-08-09 20:41:00,29486.02,29476.0,29486.02,29476.0,9.04947
1min,2023-08-09 20:42:00,29476.01,29486.82,29486.83,29476.0,10.76384
1min,2023-08-09 20:43:00,29486.83,29490.97,29490.98,29486.82,6.02476
1min,2023-08-09 20:44:00,29490.98,29495.0,29495.0,29490.97,4.40837
1min,2023-08-09 20:45:00,29494.99,29490.01,29495.0,29490.0,9.0711
1min,2023-08-09 20:46:00,29490.01,29484.94,29490.01,29484.93,9.12493
1min,2023-08-09 20:47:00,29484.94,29489.9,29489.9,29484.93,13.74628
1min,2023-08-09 20:47:00,29484.94,29489.9,29489.9,29484.93,13.74628
1min,2023-08-09 20:48:00,29489.89,29500.0,29500.0,29489.89,13.1808
1min,2023-08-09 20:48:00,29489.89,29500.0,29500.0,29489.89,13.1808
1min,2023-08-09 20:49:00,29499.99,29506.01,29513.81,29499.99,21.56857
1min,2023-08-09 20:49:00,29499.99,29506.01,29513.81,29499.99,21.56857
1min,2023-08-09 20:50:00,29506.01,29495.01,29506.01,29495.0,9.03711
1min,2023-08-09 20:50:00,29506.01,29495.01,29506.01,29495.0,9.03711
1min,2023-08-09 20:51:00,29495.0,29496.66,29496.66,29494.97,12.0856
1min,2023-08-09 20:51:00,29495.0,29496.66,29496.66,29494.97,12.0856
1min,2023-08-09 20:52:00,29496.65,29502.93,29504.0,29496.65,13.61054
1min,2023-08-09 20:52:00,29496.65,29502.93,29504.0,29496.65,13.61054
1min,2023-08-09 20:53:00,29502.93,29506.0,29506.01,29502.92,4.89734
1min,2023-08-09 20:53:00,29502.93,29506.0,29506.01,29502.92,4.89734
1min,2023-08-09 20:54:00,29506.01,29500.32,29506.01,29500.32,9.82477
1min,2023-08-09 20:54:00,29506.01,29500.32,29506.01,29500.32,9.82477
1min,2023-08-09 20:55:00,29500.33,29500.33,29500.33,29500.32,5.07142
1min,2023-08-09 20:55:00,29500.33,29500.33,29500.33,29500.32,5.07142
1min,2023-08-09 20:56:00,29500.32,29500.01,29500.33,29500.0,11.4482
1min,2023-08-09 20:56:00,29500.32,29500.01,29500.33,29500.0,11.4482
1min,2023-08-09 20:57:00,29500.0,29490.0,29500.01,29490.0,8.15728
1min,2023-08-09 20:57:00,29500.0,29490.0,29500.01,29490.0,8.15728
1min,2023-08-09 20:58:00,29490.0,29492.0,29492.0,29489.79,11.9001
1min,2023-08-09 20:58:00,29490.0,29492.0,29492.0,29489.79,11.9001
1min,2023-08-09 20:59:00,29491.99,29500.33,29500.33,29491.99,8.79142
1min,2023-08-09 20:59:00,29491.99,29500.33,29500.33,29491.99,8.79142
1min,2023-08-09 21:00:00,29500.33,29493.61,29505.0,29493.61,15.74185
1min,2023-08-09 21:00:00,29500.33,29493.61,29505.0,29493.61,15.74185
1min,2023-08-09 21:01:00,29493.61,29488.0,29493.62,29488.0,10.99043
1min,2023-08-09 21:01:00,29493.61,29488.0,29493.62,29488.0,10.99043
