date,ref_date,ref_timeframe,side,original_index,end,limit_price,stop_loss,take_profit,trigger_price,original_order_id,stop_loss_order_id,take_profit_order_id,order_is_active,base_asset_amount
2024-01-07 13:12:00+00:00,2024-01-07 04:00:00+00:00,1h,sell,2024-01-07 13:12:00+00:00,2024-01-07 17:22:00+00:00,43895.26348947717,44032.9,43264.30000000001,43904.8,SellSell-0.0727@43904.80Ref1StopLimit,BuyBuy0.0727@44032.90Ref2Stop,BuyBuy0.0727@43264.30Ref3Limit,True,
2024-01-07 17:03:00+00:00,2024-01-07 04:00:00+00:00,1h,buy,2024-01-07 17:03:00+00:00,2024-01-07 22:31:00+00:00,44042.436510522835,43904.8,44673.399999999994,44032.9,BuyBuy0.0727@44032.90Ref4StopLimit,SellSell-0.0727@43904.80Ref5Stop,SellSell-0.0727@44673.40Ref6Limit,True,
2024-01-07 17:22:00+00:00,2024-01-07 04:00:00+00:00,1h,sell,"(Timestamp('2024-01-07 13:12:00+0000', tz='UTC'), Timestamp('2024-01-07 04:00:00+0000', tz='UTC'), '1h', 'sell')",2024-01-17 20:00:00+00:00,43895.26348947717,44032.9,43264.30000000001,43904.8,SellSell-0.0727@43904.80Ref7StopLimit,BuyBuy0.0727@44032.90Ref8Stop,BuyBuy0.0727@43264.30Ref9Limit,True,
2024-01-07 22:19:00+00:00,2024-01-07 18:45:00+00:00,15min,buy,2024-01-07 22:19:00+00:00,2024-01-08 06:22:00+00:00,44171.25119393465,44109.5,44446.09999999999,44165.6,BuyBuy0.1619@44165.60Ref10StopLimit,SellSell-0.1619@44109.50Ref11Stop,SellSell-0.1619@44446.10Ref12Limit,True,
2024-01-07 22:31:00+00:00,2024-01-07 04:00:00+00:00,1h,buy,"(Timestamp('2024-01-07 17:03:00+0000', tz='UTC'), Timestamp('2024-01-07 04:00:00+0000', tz='UTC'), '1h', 'buy')",2024-01-08 06:49:00+00:00,44042.436510522835,43904.8,44673.399999999994,44032.9,BuyBuy0.0727@44032.90Ref13StopLimit,SellSell-0.0727@43904.80Ref14Stop,SellSell-0.0727@44673.40Ref15Limit,True,
2024-01-07 22:31:00+00:00,2024-01-07 21:00:00+00:00,1h,buy,2024-01-07 22:31:00+00:00,2024-01-08 06:22:00+00:00,44258.1844900875,44118.5,44892.5,44247.5,BuyBuy0.0716@44247.50Ref16StopLimit,SellSell-0.0716@44118.50Ref17Stop,SellSell-0.0716@44892.50Ref18Limit,True,
2024-01-08 06:21:00+00:00,2024-01-07 18:45:00+00:00,15min,sell,2024-01-08 06:21:00+00:00,2024-01-08 06:25:00+00:00,44103.84880606535,44165.6,43829.00000000001,44109.5,SellSell-0.1619@44103.85Ref19Limit,BuyBuy0.1619@44165.60Ref20Stop,BuyBuy0.1619@43829.00Ref21Limit,True,
2024-01-08 06:22:00+00:00,2024-01-07 18:45:00+00:00,15min,buy,"(Timestamp('2024-01-07 22:19:00+0000', tz='UTC'), Timestamp('2024-01-07 18:45:00+0000', tz='UTC'), '15min', 'buy')",2024-01-08 06:24:00+00:00,44171.25119393465,44109.5,44446.09999999999,44165.6,BuyBuy0.1619@44171.25Ref22Limit,SellSell-0.1619@44109.50Ref23Stop,SellSell-0.1619@44446.10Ref24Limit,True,
2024-01-08 06:22:00+00:00,2024-01-07 21:00:00+00:00,1h,buy,"(Timestamp('2024-01-07 22:31:00+0000', tz='UTC'), Timestamp('2024-01-07 21:00:00+0000', tz='UTC'), '1h', 'buy')",2024-01-08 06:24:00+00:00,44258.1844900875,44118.5,44892.5,44247.5,BuyBuy0.0716@44258.18Ref25Limit,SellSell-0.0716@44118.50Ref26Stop,SellSell-0.0716@44892.50Ref27Limit,True,
2024-01-08 06:24:00+00:00,2024-01-07 18:45:00+00:00,15min,buy,"(Timestamp('2024-01-08 06:22:00+0000', tz='UTC'), Timestamp('2024-01-07 18:45:00+0000', tz='UTC'), '15min', 'buy')",2024-01-08 06:26:00+00:00,44171.25119393465,44109.5,44446.09999999999,44165.6,BuyBuy0.1619@44165.60Ref28StopLimit,SellSell-0.1619@44109.50Ref29Stop,SellSell-0.1619@44446.10Ref30Limit,True,
2024-01-08 06:24:00+00:00,2024-01-07 21:00:00+00:00,1h,buy,"(Timestamp('2024-01-08 06:22:00+0000', tz='UTC'), Timestamp('2024-01-07 21:00:00+0000', tz='UTC'), '1h', 'buy')",2024-01-18 13:00:00+00:00,44258.1844900875,44118.5,44892.5,44247.5,BuyBuy0.0716@44247.50Ref31StopLimit,SellSell-0.0716@44118.50Ref32Stop,SellSell-0.0716@44892.50Ref33Limit,True,
2024-01-08 06:25:00+00:00,2024-01-07 18:45:00+00:00,15min,sell,"(Timestamp('2024-01-08 06:21:00+0000', tz='UTC'), Timestamp('2024-01-07 18:45:00+0000', tz='UTC'), '15min', 'sell')",2024-01-10 10:45:00+00:00,44103.84880606535,44165.6,43829.00000000001,44109.5,SellSell-0.1619@44103.85Ref34Limit,BuyBuy0.1619@44165.60Ref35Stop,BuyBuy0.1619@43829.00Ref36Limit,True,
2024-01-08 06:26:00+00:00,2024-01-07 18:45:00+00:00,15min,buy,"(Timestamp('2024-01-08 06:24:00+0000', tz='UTC'), Timestamp('2024-01-07 18:45:00+0000', tz='UTC'), '15min', 'buy')",2024-01-08 06:28:00+00:00,44171.25119393465,44109.5,44446.09999999999,44165.6,BuyBuy0.1619@44171.25Ref37Limit,SellSell-0.1619@44109.50Ref38Stop,SellSell-0.1619@44446.10Ref39Limit,True,
2024-01-08 06:28:00+00:00,2024-01-07 18:45:00+00:00,15min,buy,"(Timestamp('2024-01-08 06:26:00+0000', tz='UTC'), Timestamp('2024-01-07 18:45:00+0000', tz='UTC'), '15min', 'buy')",2024-01-08 11:17:00+00:00,44171.25119393465,44109.5,44446.09999999999,44165.6,BuyBuy0.1619@44165.60Ref40StopLimit,SellSell-0.1619@44109.50Ref41Stop,SellSell-0.1619@44446.10Ref42Limit,True,
2024-01-08 06:49:00+00:00,2024-01-07 04:00:00+00:00,1h,buy,"(Timestamp('2024-01-07 22:31:00+0000', tz='UTC'), Timestamp('2024-01-07 04:00:00+0000', tz='UTC'), '1h', 'buy')",2024-01-08 07:32:00+00:00,44042.436510522835,43904.8,44673.399999999994,44032.9,BuyBuy0.0727@44032.90Ref43StopLimit,SellSell-0.0727@43904.80Ref44Stop,SellSell-0.0727@44673.40Ref45Limit,True,
2024-01-08 07:32:00+00:00,2024-01-07 04:00:00+00:00,1h,buy,"(Timestamp('2024-01-08 06:49:00+0000', tz='UTC'), Timestamp('2024-01-07 04:00:00+0000', tz='UTC'), '1h', 'buy')",2024-01-08 08:43:00+00:00,44042.436510522835,43904.8,44673.399999999994,44032.9,BuyBuy0.0727@44032.90Ref46StopLimit,SellSell-0.0727@43904.80Ref47Stop,SellSell-0.0727@44673.40Ref48Limit,True,
2024-01-08 08:43:00+00:00,2024-01-07 04:00:00+00:00,1h,buy,"(Timestamp('2024-01-08 07:32:00+0000', tz='UTC'), Timestamp('2024-01-07 04:00:00+0000', tz='UTC'), '1h', 'buy')",2024-01-17 20:00:00+00:00,44042.436510522835,43904.8,44673.399999999994,44032.9,BuyBuy0.0727@44032.90Ref49StopLimit,SellSell-0.0727@43904.80Ref50Stop,SellSell-0.0727@44673.40Ref51Limit,True,
2024-01-08 11:17:00+00:00,2024-01-07 18:45:00+00:00,15min,buy,"(Timestamp('2024-01-08 06:28:00+0000', tz='UTC'), Timestamp('2024-01-07 18:45:00+0000', tz='UTC'), '15min', 'buy')",2024-01-10 10:45:00+00:00,44171.25119393465,44109.5,44446.09999999999,44165.6,BuyBuy0.1619@44165.60Ref52StopLimit,SellSell-0.1619@44109.50Ref53Stop,SellSell-0.1619@44446.10Ref54Limit,True,
2024-01-08 11:55:00+00:00,2024-01-07 21:00:00+00:00,1h,sell,2024-01-08 11:55:00+00:00,2024-01-18 13:00:00+00:00,44107.8155099125,44247.5,43473.5,44118.5,SellSell-0.0716@44118.50Ref55StopLimit,BuyBuy0.0716@44247.50Ref56Stop,BuyBuy0.0716@43473.50Ref57Limit,True,
2024-01-09 00:37:00+00:00,2024-01-08 20:15:00+00:00,15min,buy,2024-01-09 00:37:00+00:00,2024-01-09 13:55:00+00:00,47029.4733397747,46815.6,48003.6,47013.6,BuyBuy0.0468@47013.60Ref58StopLimit,SellSell-0.0468@46815.60Ref59Stop,SellSell-0.0468@48003.60Ref60Limit,True,
2024-01-09 00:38:00+00:00,2024-01-08 23:00:00+00:00,1h,buy,2024-01-09 00:38:00+00:00,2024-01-09 21:15:00+00:00,47119.089873508456,46833.3,48408.899999999994,47095.9,BuyBuy0.0350@47095.90Ref61StopLimit,SellSell-0.0350@46833.30Ref62Stop,SellSell-0.0350@48408.90Ref63Limit,True,
2024-01-09 05:42:00+00:00,2024-01-09 03:30:00+00:00,15min,buy,2024-01-09 05:42:00+00:00,2024-01-09 12:54:00+00:00,46967.0795754544,46821.8,47631.8,46956.8,BuyBuy0.0688@46956.80Ref64StopLimit,SellSell-0.0688@46821.80Ref65Stop,SellSell-0.0688@47631.80Ref66Limit,True,
2024-01-09 05:42:00+00:00,2024-01-09 03:45:00+00:00,15min,buy,2024-01-09 05:42:00+00:00,2024-01-09 12:54:00+00:00,46966.85210577909,46821.8,47631.8,46956.8,BuyBuy0.0689@46956.80Ref67StopLimit,SellSell-0.0689@46821.80Ref68Stop,SellSell-0.0689@47631.80Ref69Limit,True,
2024-01-09 12:54:00+00:00,2024-01-09 03:30:00+00:00,15min,buy,"(Timestamp('2024-01-09 05:42:00+0000', tz='UTC'), Timestamp('2024-01-09 03:30:00+0000', tz='UTC'), '15min', 'buy')",2024-01-09 13:55:00+00:00,46967.0795754544,46821.8,47631.8,46956.8,BuyBuy0.0688@46956.80Ref70StopLimit,SellSell-0.0688@46821.80Ref71Stop,SellSell-0.0688@47631.80Ref72Limit,True,
2024-01-09 12:54:00+00:00,2024-01-09 03:45:00+00:00,15min,buy,"(Timestamp('2024-01-09 05:42:00+0000', tz='UTC'), Timestamp('2024-01-09 03:45:00+0000', tz='UTC'), '15min', 'buy')",2024-01-09 13:55:00+00:00,46966.85210577909,46821.8,47631.8,46956.8,BuyBuy0.0689@46956.80Ref73StopLimit,SellSell-0.0689@46821.80Ref74Stop,SellSell-0.0689@47631.80Ref75Limit,True,
2024-01-09 12:56:00+00:00,2024-01-09 11:00:00+00:00,1h,buy,2024-01-09 12:56:00+00:00,2024-01-20 03:00:00+00:00,46660.1679343451,46427.1,47704.50000000001,46640.0,BuyBuy0.0429@46640.00Ref76StopLimit,SellSell-0.0429@46427.10Ref77Stop,SellSell-0.0429@47704.50Ref78Limit,True,
2024-01-09 13:53:00+00:00,2024-01-09 11:00:00+00:00,1h,sell,2024-01-09 13:53:00+00:00,2024-01-09 21:16:00+00:00,46406.932065654895,46640.0,45362.59999999999,46427.1,SellSell-0.0429@46427.10Ref79StopLimit,BuyBuy0.0429@46640.00Ref80Stop,BuyBuy0.0429@45362.60Ref81Limit,True,
2024-01-09 13:55:00+00:00,2024-01-08 20:15:00+00:00,15min,buy,"(Timestamp('2024-01-09 00:37:00+0000', tz='UTC'), Timestamp('2024-01-08 20:15:00+0000', tz='UTC'), '15min', 'buy')",2024-01-09 15:43:00+00:00,47029.4733397747,46815.6,48003.6,47013.6,BuyBuy0.0468@47013.60Ref82StopLimit,SellSell-0.0468@46815.60Ref83Stop,SellSell-0.0468@48003.60Ref84Limit,True,
2024-01-09 13:55:00+00:00,2024-01-09 03:30:00+00:00,15min,buy,"(Timestamp('2024-01-09 12:54:00+0000', tz='UTC'), Timestamp('2024-01-09 03:30:00+0000', tz='UTC'), '15min', 'buy')",2024-01-09 14:03:00+00:00,46967.0795754544,46821.8,47631.8,46956.8,BuyBuy0.0688@46956.80Ref85StopLimit,SellSell-0.0688@46821.80Ref86Stop,SellSell-0.0688@47631.80Ref87Limit,True,
2024-01-09 13:55:00+00:00,2024-01-09 03:45:00+00:00,15min,buy,"(Timestamp('2024-01-09 12:54:00+0000', tz='UTC'), Timestamp('2024-01-09 03:45:00+0000', tz='UTC'), '15min', 'buy')",2024-01-09 14:03:00+00:00,46966.85210577909,46821.8,47631.8,46956.8,BuyBuy0.0689@46956.80Ref88StopLimit,SellSell-0.0689@46821.80Ref89Stop,SellSell-0.0689@47631.80Ref90Limit,True,
2024-01-09 14:03:00+00:00,2024-01-09 03:30:00+00:00,15min,buy,"(Timestamp('2024-01-09 13:55:00+0000', tz='UTC'), Timestamp('2024-01-09 03:30:00+0000', tz='UTC'), '15min', 'buy')",2024-01-09 15:43:00+00:00,46967.0795754544,46821.8,47631.8,46956.8,BuyBuy0.0688@46956.80Ref91StopLimit,SellSell-0.0688@46821.80Ref92Stop,SellSell-0.0688@47631.80Ref93Limit,True,
