timeframe,date,original_start,open,close,high,low,volume,peak_or_valley,strength,permanent_strength,atr,return_end_time,movement_start_time,return_end_value,movement_start_value,target,timeframe_timedelta,major_timeframe,is_resistance,level,internal_margin,external_margin,ttl,hit,boundary_of_hit_end_0,hit_end_0,boundary_of_hit_start_1,boundary_of_hit_end_1,hit_start_1,hit_end_1,boundary_of_hit_start_2,left_more_significant_top,left_more_significant_top_value,right_more_significant_top,right_more_significant_top_value,deactivated_at,passing_time,boundary_of_hit_end_2,hit_start_2,hit_end_2,archived_at,master_pivot_timeframe,master_pivot_date
15min,2023-11-17 02:00:00+00:00,2023-11-16 22:55:00+00:00,36263.9,36267.8,36275.2,36262.4,1.55887984,peak,6240.0,True,179.51612262911178,2023-11-17 02:00:00+00:00,2023-11-16 20:16:00+00:00,36063.3,35682.6,36275.2,0 days 00:15:00,True,False,36275.2,36454.71612262911,36213.5,2023-11-22 06:55:00+00:00,2,2023-11-17 02:15:00+00:00,2023-11-17 02:30:00+00:00,2023-11-17 02:45:00+00:00,2023-11-17 03:15:00+00:00,2023-11-17 03:00:00+00:00,2023-11-17 13:00:00+00:00,2023-11-17 13:15:00+00:00,2023-11-16 17:12:00+00:00,36505.8,2023-11-17 02:30:00+00:00,36665.2,2023-11-17 14:45:00+00:00,2023-11-17 14:45:00+00:00,2023-11-17 13:45:00+00:00,2023-11-17 13:30:00+00:00,,,,
15min,2023-11-17 02:30:00+00:00,2023-11-17 02:30:00+00:00,36633.1,36615.6,36665.2,36612.7,4.49698162,peak,38880.0,True,137.8287274410653,2023-11-17 02:35:00+00:00,2023-11-17 00:38:00+00:00,36521.1,36227.0,36665.2,0 days 00:15:00,False,True,36665.2,36633.1,36803.028727441066,2023-11-22 10:30:00+00:00,3,2023-11-17 02:45:00+00:00,2023-11-17 03:00:00+00:00,2023-11-17 03:15:00+00:00,2023-11-17 13:15:00+00:00,2023-11-17 13:00:00+00:00,2023-11-17 13:30:00+00:00,2023-11-17 13:45:00+00:00,2023-11-16 15:32:00+00:00,36909.6,2023-11-17 17:03:00+00:00,36789.7,2023-11-17 17:30:00+00:00,,2023-11-17 17:15:00+00:00,2023-11-17 17:00:00+00:00,2023-11-17 17:30:00+00:00,,,
15min,2023-11-17 05:15:00+00:00,2023-11-17 05:15:00+00:00,36323.7,36311.8,36326.9,36154.2,56.65354701,valley,17640.0,True,128.3518198509126,2023-11-17 05:16:00+00:00,2023-11-17 02:35:00+00:00,36371.0,36548.0,36154.2,0 days 00:15:00,True,False,36154.2,36316.7,36025.848180149085,2023-11-22 13:15:00+00:00,3,2023-11-17 05:30:00+00:00,2023-11-17 06:15:00+00:00,2023-11-17 06:30:00+00:00,2023-11-17 07:15:00+00:00,2023-11-17 07:00:00+00:00,2023-11-17 08:30:00+00:00,2023-11-17 08:45:00+00:00,2023-11-17 00:15:00+00:00,36103.4,2023-11-17 10:27:00+00:00,36121.4,2023-11-17 11:00:00+00:00,,2023-11-17 09:45:00+00:00,2023-11-17 09:30:00+00:00,2023-11-17 11:00:00+00:00,,,
15min,2023-11-17 10:27:00+00:00,2023-11-17 10:27:00+00:00,36159.5,36186.5,36186.5,36121.4,5.76199961,valley,15540.0,True,105.76350959309713,2023-11-17 10:29:00+00:00,2023-11-17 06:37:00+00:00,36235.9,36440.4,36121.4,0 days 00:15:00,True,False,36121.4,36199.5,36015.636490406905,2023-11-22 18:27:00+00:00,2,2023-11-17 10:30:00+00:00,2023-11-17 11:00:00+00:00,2023-11-17 11:15:00+00:00,2023-11-17 14:45:00+00:00,2023-11-17 14:30:00+00:00,2023-11-17 17:15:00+00:00,2023-11-17 17:30:00+00:00,2023-11-17 00:15:00+00:00,36103.4,2023-11-17 14:55:00+00:00,35859.4,,,,,,,,
15min,2023-11-17 11:37:00+00:00,2023-11-17 11:37:00+00:00,36458.0,36428.1,36460.2,36389.9,4.32246171,peak,4860.0,True,106.42574795351187,2023-11-17 11:53:00+00:00,2023-11-17 10:27:00+00:00,36349.1,36121.4,36460.2,0 days 00:15:00,True,True,36460.2,36437.1,36566.62574795351,2023-11-22 19:37:00+00:00,3,2023-11-17 12:00:00+00:00,2023-11-17 12:15:00+00:00,2023-11-17 12:30:00+00:00,2023-11-17 13:00:00+00:00,2023-11-17 12:45:00+00:00,2023-11-17 13:45:00+00:00,2023-11-17 14:00:00+00:00,2023-11-17 04:39:00+00:00,36517.0,2023-11-17 13:09:00+00:00,36640.2,2023-11-17 19:45:00+00:00,,2023-11-17 17:15:00+00:00,2023-11-17 17:00:00+00:00,2023-11-17 19:45:00+00:00,,,
15min,2023-11-17 13:09:00+00:00,2023-11-17 13:09:00+00:00,36603.0,36616.6,36640.2,36577.0,22.89251067,peak,14040.0,True,113.0757889667754,2023-11-17 13:19:00+00:00,2023-11-17 12:31:00+00:00,36515.9,36299.5,36640.2,0 days 00:15:00,True,True,36640.2,36596.2,36753.27578896677,2023-11-22 21:09:00+00:00,0,2023-11-17 13:30:00+00:00,2023-11-17 13:45:00+00:00,2023-11-17 14:00:00+00:00,2023-11-17 17:15:00+00:00,2023-11-17 17:00:00+00:00,,,2023-11-17 02:30:00+00:00,36665.2,2023-11-17 17:03:00+00:00,36789.7,,,,,,,,
15min,2023-11-17 14:45:00+00:00,2023-11-16 22:55:00+00:00,36263.9,36267.8,36275.2,36262.4,1.55887984,peak,6240.0,True,179.51612262911178,2023-11-17 14:45:00+00:00,2023-11-16 20:16:00+00:00,36063.3,35682.6,36275.2,0 days 00:15:00,True,True,36275.2,36213.5,36454.71612262911,2023-11-22 06:55:00+00:00,0,2023-11-17 15:00:00+00:00,2023-11-17 15:15:00+00:00,2023-11-17 15:30:00+00:00,2023-11-17 17:15:00+00:00,2023-11-17 17:00:00+00:00,,,2023-11-16 17:12:00+00:00,36505.8,2023-11-17 02:30:00+00:00,36665.2,2023-11-17 23:00:00+00:00,2023-11-17 23:00:00+00:00,,,,,,
15min,2023-11-17 14:55:00+00:00,2023-11-17 14:55:00+00:00,35899.2,35903.3,35920.5,35859.4,6.36531648,valley,32700.0,False,136.44308796973544,2023-11-17 14:58:00+00:00,2023-11-17 14:37:00+00:00,36015.1,36295.1,35859.4,0 days 00:15:00,True,False,35859.4,36014.6,35722.95691203027,2023-11-22 22:55:00+00:00,2,2023-11-17 15:00:00+00:00,2023-11-17 16:15:00+00:00,2023-11-17 16:30:00+00:00,2023-11-17 17:00:00+00:00,2023-11-17 16:45:00+00:00,2023-11-17 17:15:00+00:00,2023-11-17 17:30:00+00:00,2023-11-16 21:09:00+00:00,35835.1,,,,,,,,,,
15min,2023-11-17 16:45:00+00:00,2023-11-16 15:55:00+00:00,36326.5,36367.0,36385.0,36256.7,15.0737503,valley,7740.0,True,200.3656703625965,2023-11-17 16:45:00+00:00,2023-11-16 15:33:00+00:00,36466.4,36906.9,36256.7,0 days 00:15:00,False,True,36256.7,36056.3343296374,36405.3,2023-11-21 23:55:00+00:00,0,2023-11-17 17:00:00+00:00,,,,,,,,,2023-11-16 18:24:00+00:00,36080.0,2023-11-17 17:45:00+00:00,2023-11-17 17:45:00+00:00,,,,,,
15min,2023-11-17 17:03:00+00:00,2023-11-17 17:03:00+00:00,36308.0,36564.1,36789.7,36308.0,147.72614268,peak,25020.0,False,191.63051888228304,2023-11-17 17:04:00+00:00,2023-11-17 17:02:00+00:00,36377.7,35979.3,36789.7,0 days 00:15:00,False,True,36789.7,36357.1,36981.33051888228,2023-11-23 01:03:00+00:00,0,2023-11-17 17:15:00+00:00,2023-11-17 19:45:00+00:00,2023-11-17 20:00:00+00:00,2023-11-17 20:30:00+00:00,2023-11-17 20:15:00+00:00,,,2023-11-16 15:32:00+00:00,36909.6,,,,,,,,,,
15min,2023-11-17 17:45:00+00:00,2023-11-16 15:55:00+00:00,36326.5,36367.0,36385.0,36256.7,15.0737503,valley,7740.0,True,200.3656703625965,2023-11-17 17:45:00+00:00,2023-11-16 15:33:00+00:00,36466.4,36906.9,36256.7,0 days 00:15:00,False,False,36256.7,36405.3,36056.3343296374,2023-11-21 23:55:00+00:00,3,2023-11-17 18:00:00+00:00,2023-11-17 19:00:00+00:00,2023-11-17 19:15:00+00:00,2023-11-17 19:45:00+00:00,2023-11-17 19:30:00+00:00,2023-11-17 20:15:00+00:00,2023-11-17 20:30:00+00:00,,,2023-11-16 18:24:00+00:00,36080.0,2023-11-17 22:15:00+00:00,,2023-11-17 21:00:00+00:00,2023-11-17 20:45:00+00:00,2023-11-17 22:15:00+00:00,,,
15min,2023-11-17 19:52:00+00:00,2023-11-17 19:52:00+00:00,36336.5,36244.9,36336.5,36195.4,26.41082792,valley,10200.0,True,166.3580114059517,2023-11-17 20:03:00+00:00,2023-11-17 17:03:00+00:00,36369.0,36789.7,36195.4,0 days 00:15:00,True,False,36195.4,36320.3,36029.04198859405,2023-11-23 03:52:00+00:00,0,2023-11-17 20:15:00+00:00,2023-11-17 20:30:00+00:00,2023-11-17 20:45:00+00:00,,,,,2023-11-17 16:37:00+00:00,35915.1,,,,,,,,,,
15min,2023-11-17 23:00:00+00:00,2023-11-16 22:55:00+00:00,36263.9,36267.8,36275.2,36262.4,1.55887984,peak,6240.0,True,179.51612262911178,2023-11-17 23:00:00+00:00,2023-11-16 20:16:00+00:00,36063.3,35682.6,36275.2,0 days 00:15:00,True,False,36275.2,36454.71612262911,36213.5,2023-11-22 06:55:00+00:00,0,2023-11-17 23:15:00+00:00,2023-11-17 23:30:00+00:00,2023-11-17 23:45:00+00:00,,,,,2023-11-16 17:12:00+00:00,36505.8,2023-11-17 02:30:00+00:00,36665.2,,,,,,,,
15min,2023-11-17 23:08:00+00:00,2023-11-17 23:08:00+00:00,36629.0,36693.0,36724.7,36629.0,8.23016149,peak,3120.0,False,134.22939628826938,2023-11-17 23:18:00+00:00,2023-11-17 20:01:00+00:00,36587.5,36306.2,36724.7,0 days 00:15:00,True,True,36724.7,36616.5,36858.929396288266,2023-11-23 07:08:00+00:00,0,2023-11-17 23:30:00+00:00,2023-11-17 23:45:00+00:00,2023-11-18 00:00:00+00:00,,,,,2023-11-17 17:03:00+00:00,36789.7,,,,,,,,,,
