date,open,high,low,close,volume
2023-08-09 20:30:00,29485.49,29485.49,29477.04,29477.05,13.96893
2023-08-09 20:31:00,29477.05,29477.05,29476.0,29476.01,6.75918
2023-08-09 20:32:00,29476.0,29476.01,29463.22,29470.0,19.85802
2023-08-09 20:33:00,29469.99,29475.95,29469.99,29475.94,5.2581
2023-08-09 20:34:00,29475.94,29475.95,29475.94,29475.94,3.93217
2023-08-09 20:35:00,29475.95,29475.95,29475.94,29475.95,2.2862
2023-08-09 20:36:00,29475.94,29475.95,29475.94,29475.94,2.40054
2023-08-09 20:37:00,29475.95,29475.95,29475.94,29475.95,2.2532
2023-08-09 20:38:00,29475.95,29481.12,29475.94,29481.11,7.15943
2023-08-09 20:39:00,29481.12,29486.0,29481.11,29485.99,6.71962
2023-08-09 20:40:00,29486.0,29491.89,29485.99,29486.02,13.75044
2023-08-09 20:41:00,29486.02,29486.02,29476.0,29476.0,9.04947
2023-08-09 20:42:00,29476.01,29486.83,29476.0,29486.82,10.76384
2023-08-09 20:43:00,29486.83,29490.98,29486.82,29490.97,6.02476
2023-08-09 20:44:00,29490.98,29495.0,29490.97,29495.0,4.40837
2023-08-09 20:45:00,29494.99,29495.0,29490.0,29490.01,9.0711
2023-08-09 20:46:00,29490.01,29490.01,29484.93,29484.94,9.12493
2023-08-09 20:47:00,29484.94,29489.9,29484.93,29489.9,13.74628
2023-08-09 20:48:00,29489.89,29500.0,29489.89,29500.0,13.1808
2023-08-09 20:49:00,29499.99,29513.81,29499.99,29506.01,21.56857
2023-08-09 20:50:00,29506.01,29506.01,29495.0,29495.01,9.03711
2023-08-09 20:51:00,29495.0,29496.66,29494.97,29496.66,12.0856
2023-08-09 20:52:00,29496.65,29504.0,29496.65,29502.93,13.61054
2023-08-09 20:53:00,29502.93,29506.01,29502.92,29506.0,4.89734
2023-08-09 20:54:00,29506.01,29506.01,29500.32,29500.32,9.82477
2023-08-09 20:55:00,29500.33,29500.33,29500.32,29500.33,5.07142
2023-08-09 20:56:00,29500.32,29500.33,29500.0,29500.01,11.4482
2023-08-09 20:57:00,29500.0,29500.01,29490.0,29490.0,8.15728
2023-08-09 20:58:00,29490.0,29492.0,29489.79,29492.0,11.9001
2023-08-09 20:59:00,29491.99,29500.33,29491.99,29500.33,8.79142
2023-08-09 21:00:00,29500.33,29505.0,29493.61,29493.61,15.74185
2023-08-09 21:01:00,29493.61,29493.62,29488.0,29488.0,10.99043
2023-08-09 21:02:00,29488.0,29493.79,29488.0,29492.32,17.65997
2023-08-09 21:03:00,29492.32,29497.99,29492.0,29492.0,15.06999
2023-08-09 21:04:00,29492.0,29493.99,29492.0,29493.98,9.88621
2023-08-09 21:05:00,29493.98,29497.99,29493.98,29497.98,8.79574
2023-08-09 21:06:00,29497.98,29504.59,29497.98,29504.59,6.40264
2023-08-09 21:07:00,29504.59,29506.5,29504.58,29506.49,3.16752
2023-08-09 21:08:00,29506.5,29507.7,29506.49,29507.7,4.58096
2023-08-09 21:09:00,29507.69,29507.7,29507.69,29507.69,5.21816
2023-08-09 21:10:00,29507.7,29507.7,29497.36,29497.36,17.08811
2023-08-09 21:11:00,29497.36,29497.37,29479.18,29479.19,26.13892
2023-08-09 21:12:00,29479.18,29479.19,29462.0,29462.01,26.03693
2023-08-09 21:13:00,29462.0,29462.01,29440.63,29440.63,36.70648
2023-08-09 21:14:00,29440.63,29441.76,29440.0,29440.32,10.53287
2023-08-09 21:15:00,29440.32,29461.43,29440.32,29461.42,32.82794
2023-08-09 21:16:00,29461.42,29469.25,29461.42,29469.25,10.25106
2023-08-09 21:17:00,29469.24,29478.74,29469.24,29478.73,7.88503
2023-08-09 21:18:00,29478.74,29485.0,29478.73,29485.0,3.94715
2023-08-09 21:19:00,29485.0,29487.18,29484.99,29487.17,2.93996
2023-08-09 21:20:00,29487.17,29494.99,29487.17,29494.98,5.67467
2023-08-09 21:21:00,29494.98,29500.3,29494.98,29500.29,7.18459
2023-08-09 21:22:00,29500.3,29500.3,29500.29,29500.3,3.41604
2023-08-09 21:23:00,29500.3,29500.3,29498.86,29498.87,13.672
2023-08-09 21:24:00,29498.87,29498.87,29498.86,29498.87,4.36723
2023-08-09 21:25:00,29498.86,29500.43,29498.86,29500.43,7.22939
2023-08-09 21:26:00,29500.43,29517.14,29500.42,29512.0,26.80179
2023-08-09 21:27:00,29512.01,29515.47,29510.14,29515.29,7.59051
2023-08-09 21:28:00,29515.28,29528.52,29515.28,29521.16,40.47175
2023-08-09 21:29:00,29521.17,29530.0,29521.16,29530.0,14.43609
2023-08-09 21:30:00,29530.0,29530.0,29520.0,29520.01,17.18739
2023-08-09 21:31:00,29520.01,29520.01,29515.28,29515.28,12.43787
2023-08-09 21:32:00,29515.28,29515.29,29513.88,29513.89,4.72149
2023-08-09 21:33:00,29513.89,29513.89,29511.24,29511.24,3.3095
2023-08-09 21:34:00,29511.25,29511.25,29511.24,29511.24,3.30533
2023-08-09 21:35:00,29511.25,29522.12,29511.24,29522.11,19.96636
2023-08-09 21:36:00,29522.11,29522.12,29519.35,29519.36,7.1246
2023-08-09 21:37:00,29519.36,29519.36,29507.96,29507.96,17.15884
2023-08-09 21:38:00,29507.96,29507.97,29505.94,29505.94,2.42155
2023-08-09 21:39:00,29505.95,29513.66,29505.94,29513.65,10.67024
2023-08-09 21:40:00,29513.65,29513.66,29513.65,29513.65,1.81965
2023-08-09 21:41:00,29513.66,29517.02,29513.65,29516.13,13.77511
2023-08-09 21:42:00,29516.14,29529.53,29516.13,29529.53,11.99446
2023-08-09 21:43:00,29529.52,29529.53,29526.01,29526.01,9.35826
2023-08-09 21:44:00,29526.01,29526.02,29526.01,29526.02,1.76763
2023-08-09 21:45:00,29526.01,29537.96,29526.01,29537.95,13.22985
2023-08-09 21:46:00,29537.96,29544.0,29537.95,29544.0,7.55755
2023-08-09 21:47:00,29544.0,29547.04,29543.23,29543.23,16.01311
2023-08-09 21:48:00,29543.23,29543.24,29543.23,29543.24,4.25569
