timeframe,date,level,internal_margin,external_margin,activation_time,ttl,deactivated_at,archived_at,hit,is_overlap_of
4H,2023-08-25 14:56:00,25780.2,26138.4,25649.092416858777,2023-08-25 14:56:00,2023-09-15 22:56:00,,,0,
1H,2023-08-26 02:16:00,26120.2,26060.1,26157.507893296926,2023-08-26 02:16:00,2023-08-31 10:16:00,,,0,
1H,2023-08-26 12:42:00,25984.9,26043.7,25972.918176085266,2023-08-26 12:42:00,2023-08-31 20:42:00,,,0,
1H,2023-08-27 01:38:00,25963.7,26010.1,25950.077670646675,2023-08-27 01:38:00,2023-09-01 09:38:00,,,0,
1H,2023-08-27 14:37:00,26179.6,26060.7,26190.277699208506,2023-08-27 14:37:00,2023-09-01 22:37:00,,,0,
4H,2023-08-28 09:19:00,25865.7,26025.3,25812.098278084657,2023-08-28 09:19:00,2023-09-18 17:19:00,,,0,
1H,2023-08-28 12:26:00,26250.5,26085.4,26288.04632262804,2023-08-28 12:26:00,2023-09-02 20:26:00,,,0,
1H,2023-08-28 19:24:00,25921.0,26102.3,25870.645272320486,2023-08-28 19:24:00,2023-09-03 03:24:00,,,0,
1H,2023-08-29 01:18:00,26204.1,26123.1,26244.07090406321,2023-08-29 01:18:00,2023-09-03 09:18:00,,,0,
1H,2023-08-29 10:38:00,25923.7,25999.7,25893.30114382495,2023-08-29 10:38:00,2023-09-03 18:38:00,,,0,
4H,2023-08-29 16:27:00,28148.8,26140.7,28233.953955927347,2023-08-29 16:27:00,2023-09-20 00:27:00,,,0,
1H,2023-08-30 03:25:00,27284.1,27702.9,27183.284029805152,2023-08-30 03:25:00,2023-09-04 11:25:00,,,0,
1H,2023-08-30 14:50:00,27018.0,27338.0,26971.550698901086,2023-08-30 14:50:00,2023-09-04 22:50:00,,,0,
1H,2023-08-31 11:42:00,27578.8,27259.6,27610.993506953506,2023-08-31 11:42:00,2023-09-05 19:42:00,,,0,
1H,2023-08-31 21:09:00,25668.2,26143.7,25535.026204147893,2023-08-31 21:09:00,2023-09-06 05:09:00,,,0,
1H,2023-09-01 12:18:00,26155.8,26084.0,26192.232784233987,2023-09-01 12:18:00,2023-09-06 20:18:00,,,0,
4H,2023-09-01 17:42:00,25334.8,25940.4,25133.485127240285,2023-09-01 17:42:00,2023-09-23 01:42:00,,,0,
1H,2023-09-02 06:39:00,25864.5,25805.1,25902.875633739026,2023-09-02 06:39:00,2023-09-07 14:39:00,,,0,
1H,2023-09-02 15:41:00,25985.7,25828.0,26015.24251145013,2023-09-02 15:41:00,2023-09-07 23:41:00,,,0,
1H,2023-09-02 18:28:00,25766.1,25893.2,25726.65549962863,2023-09-02 18:28:00,2023-09-08 02:28:00,,,0,
1H,2023-09-03 12:36:00,26086.8,25942.1,26106.2732511167,2023-09-03 12:36:00,2023-09-08 20:36:00,,,0,
1H,2023-09-03 16:39:00,25802.1,25872.8,25765.07275979795,2023-09-03 16:39:00,2023-09-09 00:39:00,,,0,
4H,2023-09-03 20:51:00,26130.6,25871.8,26204.58519878359,2023-09-03 20:51:00,2023-09-25 04:51:00,,,0,
