date,cash,fund_shares,fund_value,BTCUSDT_value,BTCUSDT_position_size,BTCUSDT_position_price,BTCUSDT_position_price_orig,BTCUSDT_position_upclosed,BTCUSDT_position_upopened,BTCUSDT_position_adjbase,BTCUSDT_position_updt
2023-11-16 07:04:00+00:00,100000.0,1000.0,100.0,100000.0,0.0,0.0,0.0,0.0,0.0,,
2023-11-16 07:04:00+00:00,100000.0,1000.0,100.0,100000.0,0.0,0.0,0.0,0.0,0.0,,
2023-11-16 07:04:00+00:00,100000.0,1000.0,100.0,100000.0,0.0,0.0,0.0,0.0,0.0,,
2023-11-16 07:04:00+00:00,100000.0,1000.0,100.0,100000.0,0.0,0.0,0.0,0.0,0.0,,
2023-11-16 07:04:00+00:00,100000.0,1000.0,100.0,100000.0,0.0,0.0,0.0,0.0,0.0,,
2023-11-16 07:04:00+00:00,100000.0,1000.0,100.0,100000.0,0.0,0.0,0.0,0.0,0.0,,
2023-11-16 08:15:00+00:00,105425.6502952198,1000.0,99.99636980506409,99996.3698050641,-0.14523277747431912,37395.7,0.0,0.0,-0.14523277747431912,,
2023-11-16 08:27:00+00:00,105425.6502952198,1000.0,100.01994108484818,100019.94108484818,-0.14523277747431912,37395.7,0.0,0.0,-0.14523277747431912,,
2023-11-16 08:27:00+00:00,105425.6502952198,1000.0,100.01994108484818,100019.94108484818,-0.14523277747431912,37395.7,0.0,0.0,-0.14523277747431912,,
2023-11-16 08:27:00+00:00,105425.6502952198,1000.0,100.01994108484818,100019.94108484818,-0.14523277747431912,37395.7,0.0,0.0,-0.14523277747431912,,
2023-11-16 08:27:00+00:00,105425.6502952198,1000.0,100.01994108484818,100019.94108484818,-0.14523277747431912,37395.7,0.0,0.0,-0.14523277747431912,,
2023-11-16 08:27:00+00:00,105425.6502952198,1000.0,100.01994108484818,100019.94108484818,-0.14523277747431912,37395.7,0.0,0.0,-0.14523277747431912,,
2023-11-16 08:27:00+00:00,105425.6502952198,1000.0,100.01994108484818,100019.94108484818,-0.14523277747431912,37395.7,0.0,0.0,-0.14523277747431912,,
2023-11-16 11:15:00+00:00,94534.4822035944,1000.0,99.97824240166429,99978.24240166429,0.14523277747431912,37458.1,0.0,0.0,0.14523277747431912,,
2023-11-16 11:15:00+00:00,94534.4822035944,1000.0,99.97824240166429,99978.24240166429,0.14523277747431912,37458.1,0.0,0.0,0.14523277747431912,,
2023-11-16 11:15:00+00:00,94534.4822035944,1000.0,99.97824240166429,99978.24240166429,0.14523277747431912,37458.1,0.0,0.0,0.14523277747431912,,
2023-11-16 11:16:00+00:00,94534.4822035944,1000.0,99.97724029549973,99977.24029549972,0.14523277747431912,37458.1,0.0,0.0,0.14523277747431912,,
2023-11-16 11:16:00+00:00,94534.4822035944,1000.0,99.97724029549973,99977.24029549972,0.14523277747431912,37458.1,0.0,0.0,0.14523277747431912,,
2023-11-16 11:16:00+00:00,94534.4822035944,1000.0,99.97724029549973,99977.24029549972,0.14523277747431912,37458.1,0.0,0.0,0.14523277747431912,,
2023-11-16 11:16:00+00:00,94534.4822035944,1000.0,99.97724029549973,99977.24029549972,0.14523277747431912,37458.1,0.0,0.0,0.14523277747431912,,
2023-11-16 11:16:00+00:00,94534.4822035944,1000.0,99.97724029549973,99977.24029549972,0.14523277747431912,37458.1,0.0,0.0,0.14523277747431912,,
2023-11-16 11:16:00+00:00,94534.4822035944,1000.0,99.97724029549973,99977.24029549972,0.14523277747431912,37458.1,0.0,0.0,0.14523277747431912,,
2023-11-16 11:44:00+00:00,105385.782794034,1000.0,99.96173068386737,99961.73068386737,-0.14523277747431912,37395.7,0.0,0.0,-0.14523277747431912,,
2023-11-16 11:44:00+00:00,105385.782794034,1000.0,99.96173068386737,99961.73068386737,-0.14523277747431912,37395.7,0.0,0.0,-0.14523277747431912,,
2023-11-16 11:44:00+00:00,105385.782794034,1000.0,99.96173068386737,99961.73068386737,-0.14523277747431912,37395.7,0.0,0.0,-0.14523277747431912,,
2023-11-16 11:45:00+00:00,105385.782794034,1000.0,99.9626892201987,99962.68922019869,-0.14523277747431912,37395.7,0.0,0.0,-0.14523277747431912,,
