date,open,high,low,close,volume
2023-09-01 20:30:00,25738.02,25757.11,25735.64,25747.6,52.43679
2023-09-01 20:31:00,25747.6,25803.59,25747.59,25797.3,135.5895
2023-09-01 20:32:00,25797.3,25887.41,25787.41,25858.46,251.6069
2023-09-01 20:33:00,25858.46,25937.42,25858.45,25872.15,278.3142
2023-09-01 20:34:00,25872.15,25880.0,25825.0,25825.0,78.40589
2023-09-01 20:35:00,25825.0,25829.24,25793.51,25793.52,86.73732
2023-09-01 20:36:00,25793.52,25803.66,25760.0,25779.35,147.76017
2023-09-01 20:37:00,25779.36,25821.79,25775.15,25820.58,75.46983
2023-09-01 20:38:00,25820.57,25823.22,25807.71,25809.74,39.18231
2023-09-01 20:39:00,25809.74,25825.47,25800.92,25825.47,21.16299
2023-09-01 20:40:00,25825.47,25836.24,25808.2,25808.2,29.04284
2023-09-01 20:41:00,25808.2,25808.21,25785.81,25785.82,24.81133
2023-09-01 20:42:00,25785.83,25788.25,25777.69,25788.24,21.87565
2023-09-01 20:43:00,25788.25,25794.84,25783.47,25794.83,21.75068
2023-09-01 20:44:00,25794.83,25794.84,25779.31,25783.65,23.06551
2023-09-01 20:45:00,25783.66,25783.66,25761.0,25766.34,23.90256
2023-09-01 20:46:00,25766.34,25774.2,25766.34,25769.59,11.49611
2023-09-01 20:47:00,25769.6,25778.53,25745.8,25768.13,31.10776
2023-09-01 20:48:00,25768.14,25792.57,25768.03,25792.57,28.22925
2023-09-01 20:49:00,25792.57,25795.58,25780.0,25780.02,17.55441
2023-09-01 20:50:00,25780.02,25780.02,25765.02,25771.2,24.27046
2023-09-01 20:51:00,25771.21,25786.23,25768.51,25775.88,20.33122
2023-09-01 20:52:00,25775.88,25777.49,25760.56,25760.57,19.40777
2023-09-01 20:53:00,25760.56,25772.83,25760.56,25770.72,24.32914
2023-09-01 20:54:00,25770.73,25772.67,25763.71,25763.71,9.76753
2023-09-01 20:55:00,25763.72,25787.14,25763.71,25787.13,11.86266
2023-09-01 20:56:00,25787.13,25787.14,25776.24,25782.8,12.60173
2023-09-01 20:57:00,25782.8,25782.8,25772.55,25779.0,16.39042
2023-09-01 20:58:00,25779.01,25782.25,25777.32,25782.24,7.87002
2023-09-01 20:59:00,25782.25,25791.4,25776.61,25776.62,31.36363
2023-09-01 21:00:00,25776.62,25776.62,25766.57,25772.42,22.4108
2023-09-01 21:01:00,25772.42,25782.17,25769.06,25771.0,18.3355
2023-09-01 21:02:00,25770.99,25775.93,25770.99,25772.56,13.97658
2023-09-01 21:03:00,25772.55,25774.25,25761.86,25761.87,20.32142
2023-09-01 21:04:00,25761.86,25761.87,25741.53,25751.48,68.46642
2023-09-01 21:05:00,25751.48,25761.87,25751.48,25760.22,20.35688
2023-09-01 21:06:00,25760.22,25780.0,25760.22,25776.19,15.48763
2023-09-01 21:07:00,25776.19,25776.19,25768.6,25768.6,9.28935
2023-09-01 21:08:00,25768.6,25777.81,25768.6,25777.8,10.52714
2023-09-01 21:09:00,25777.8,25822.22,25777.8,25808.16,73.7443
2023-09-01 21:10:00,25808.16,25823.02,25808.15,25816.73,25.86737
2023-09-01 21:11:00,25816.74,25816.74,25811.77,25811.78,16.71348
2023-09-01 21:12:00,25811.78,25831.68,25811.77,25828.11,23.21761
2023-09-01 21:13:00,25828.1,25828.11,25816.25,25816.26,22.4896
2023-09-01 21:14:00,25816.26,25816.26,25804.86,25804.86,15.61883
2023-09-01 21:15:00,25804.86,25840.0,25803.68,25839.99,40.04848
2023-09-01 21:16:00,25839.99,25862.77,25839.99,25856.53,25.19317
2023-09-01 21:17:00,25856.54,25856.54,25832.99,25832.99,25.08897
2023-09-01 21:18:00,25833.0,25833.0,25815.01,25815.02,15.48059
2023-09-01 21:19:00,25815.02,25815.02,25783.47,25783.47,25.74064
2023-09-01 21:20:00,25783.47,25783.81,25775.0,25776.52,57.82508
2023-09-01 21:21:00,25776.53,25787.48,25776.52,25787.47,20.2412
2023-09-01 21:22:00,25787.48,25787.48,25787.47,25787.47,11.28191
2023-09-01 21:23:00,25787.48,25798.02,25787.47,25798.01,15.03532
2023-09-01 21:24:00,25798.02,25821.04,25798.01,25803.03,28.4096
2023-09-01 21:25:00,25803.02,25803.03,25783.53,25783.54,13.1425
2023-09-01 21:26:00,25783.53,25783.54,25772.29,25780.09,20.2219
2023-09-01 21:27:00,25780.08,25780.09,25757.43,25757.44,29.80871
2023-09-01 21:28:00,25757.43,25766.68,25751.65,25766.68,20.97314
2023-09-01 21:29:00,25766.67,25766.68,25757.68,25757.68,14.65856
2023-09-01 21:30:00,25757.69,25757.69,25744.68,25753.18,10.87601
2023-09-01 21:31:00,25753.17,25769.77,25753.17,25754.45,20.71132
2023-09-01 21:32:00,25754.45,25754.45,25742.13,25742.14,8.69701
2023-09-01 21:33:00,25742.13,25746.74,25734.92,25746.74,15.58396
2023-09-01 21:34:00,25746.73,25770.91,25746.73,25770.91,20.46494
2023-09-01 21:35:00,25770.91,25778.25,25768.35,25769.62,14.81946
2023-09-01 21:36:00,25769.63,25769.63,25761.99,25762.0,4.08484
2023-09-01 21:37:00,25761.99,25765.24,25756.01,25756.01,5.72415
2023-09-01 21:38:00,25756.02,25768.64,25756.01,25768.64,13.36873
2023-09-01 21:39:00,25768.64,25783.69,25768.63,25783.69,15.26374
2023-09-01 21:40:00,25783.68,25784.99,25783.68,25784.98,7.27399
2023-09-01 21:41:00,25784.98,25784.99,25774.87,25774.87,13.36183
2023-09-01 21:42:00,25774.88,25774.88,25774.87,25774.88,4.99313
2023-09-01 21:43:00,25774.88,25774.88,25772.75,25772.76,5.53953
2023-09-01 21:44:00,25772.76,25772.76,25770.01,25770.01,2.90677
2023-09-01 21:45:00,25770.02,25770.02,25758.25,25758.25,10.89595
2023-09-01 21:46:00,25758.25,25758.26,25758.25,25758.26,2.94177
2023-09-01 21:47:00,25758.26,25768.05,25753.57,25768.05,13.33533
2023-09-01 21:48:00,25768.05,25778.15,25768.04,25778.15,13.01371
2023-09-01 21:49:00,25778.15,25788.56,25778.14,25788.56,5.58235
2023-09-01 21:50:00,25788.56,25798.91,25783.05,25783.05,16.40119
2023-09-01 21:51:00,25783.05,25783.06,25769.07,25769.07,19.58049
2023-09-01 21:52:00,25769.08,25769.08,25759.82,25759.83,12.1909
2023-09-01 21:53:00,25759.82,25771.13,25759.82,25765.06,13.9556
2023-09-01 21:54:00,25765.06,25765.07,25757.68,25757.7,8.34495
2023-09-01 21:55:00,25757.7,25800.0,25754.62,25799.99,15.94349
2023-09-01 21:56:00,25799.99,25804.31,25799.99,25804.3,9.3082
2023-09-01 21:57:00,25804.31,25824.11,25804.3,25824.1,19.41056
2023-09-01 21:58:00,25824.11,25824.11,25824.1,25824.1,8.17718
2023-09-01 21:59:00,25824.1,25824.11,25804.48,25804.49,12.55798
2023-09-01 22:00:00,25804.49,25813.99,25801.44,25813.99,17.87346
2023-09-01 22:01:00,25813.99,25816.88,25807.91,25809.4,19.00385
2023-09-01 22:02:00,25809.41,25813.41,25805.0,25806.63,12.69199
2023-09-01 22:03:00,25806.63,25806.64,25800.13,25803.73,7.98484
2023-09-01 22:04:00,25803.72,25803.94,25800.69,25800.7,12.03784
2023-09-01 22:05:00,25800.7,25800.7,25800.69,25800.69,4.08494
2023-09-01 22:06:00,25800.7,25809.22,25800.69,25805.91,20.84968
2023-09-01 22:07:00,25805.91,25807.14,25805.91,25807.14,10.82057
2023-09-01 22:08:00,25807.14,25807.14,25805.42,25805.57,11.59446
2023-09-01 22:09:00,25805.58,25805.58,25795.0,25795.0,6.92338
2023-09-01 22:10:00,25795.01,25795.01,25786.33,25786.33,11.28036
2023-09-01 22:11:00,25786.34,25786.34,25781.94,25781.94,11.09195
2023-09-01 22:12:00,25781.94,25781.95,25780.0,25780.0,5.60007
2023-09-01 22:13:00,25780.0,25780.01,25780.0,25780.0,4.78198
2023-09-01 22:14:00,25780.01,25792.31,25780.0,25790.39,11.69489
2023-09-01 22:15:00,25790.39,25791.65,25790.38,25790.73,6.73988
2023-09-01 22:16:00,25790.74,25799.71,25790.73,25799.7,7.88712
2023-09-01 22:17:00,25799.71,25799.71,25799.7,25799.7,6.44469
2023-09-01 22:18:00,25799.71,25803.76,25797.49,25803.76,9.02898
2023-09-01 22:19:00,25803.75,25809.21,25803.75,25809.21,5.73709
2023-09-01 22:20:00,25809.21,25826.71,25809.2,25821.94,22.79863
2023-09-01 22:21:00,25821.94,25821.94,25816.72,25820.9,10.9042
2023-09-01 22:22:00,25820.91,25820.91,25815.06,25815.06,5.5451
2023-09-01 22:23:00,25815.07,25815.07,25810.76,25812.38,18.68582
2023-09-01 22:24:00,25812.39,25812.39,25812.38,25812.38,5.66917
2023-09-01 22:25:00,25812.38,25812.39,25799.27,25799.27,10.44891
