date,ref_date,ref_timeframe,side,original_index,end,limit_price,stop_loss,take_profit,trigger_price,trigger_satisfied,stop_loss_order_id,take_profit_order_id,order_is_active,updated,original_order_id,base_asset_amount
2024-01-09 13:55:00+00:00,2024-01-08 20:15:00+00:00,15min,buy,"(Timestamp('2024-01-09 03:02:00+0000', tz='UTC'), Timestamp('2024-01-08 20:15:00+0000', tz='UTC'), '15min', 'buy')",2024-01-09 03:02:00+00:00,47029.47334,46815.6,48003.6,47013.6,FALSE,Sell>-0.0468@46815.60Ref17Stop,Sell>-0.0468@48003.60Ref18Limit,FALSE,TRUE,,
2024-01-09 14:36:00+00:00,2024-01-09 11:00:00+00:00,1h,sell,2024-01-09 14:36:00+00:00,2024-01-09 21:15:00+00:00,46406.93207,46640,45362.6,46427.1,FALSE,Buy<0.0429@46640.00Ref32Stop,Buy<0.0429@45362.60Ref33Limit,FALSE,TRUE,,
2024-01-09 19:32:00+00:00,2024-01-09 17:15:00+00:00,15min,buy,2024-01-09 19:32:00+00:00,2024-01-09 21:15:00+00:00,46920.5343,46788.8,47510,46909,FALSE,Sell>-0.0759@46788.80Ref35Stop,Sell>-0.0759@47510.00Ref36Limit,FALSE,TRUE,,
2024-01-09 21:11:00+00:00,2024-01-08 20:15:00+00:00,15min,sell,2024-01-09 21:11:00+00:00,2024-01-09 21:15:00+00:00,46799.72666,47013.6,45825.6,46815.6,FALSE,Buy<0.0468@47013.60Ref38Stop,Buy<0.0468@45825.60Ref39Limit,FALSE,TRUE,,
2024-01-09 21:11:00+00:00,2024-01-09 03:30:00+00:00,15min,sell,2024-01-09 21:11:00+00:00,2024-01-09 21:15:00+00:00,46811.52042,46956.8,46146.8,46821.8,FALSE,Buy<0.0688@46956.80Ref41Stop,Buy<0.0688@46146.80Ref42Limit,FALSE,TRUE,,
2024-01-09 21:11:00+00:00,2024-01-09 03:45:00+00:00,15min,sell,2024-01-09 21:11:00+00:00,2024-01-09 21:15:00+00:00,46811.74789,46956.8,46146.8,46821.8,FALSE,Buy<0.0689@46956.80Ref44Stop,Buy<0.0689@46146.80Ref45Limit,FALSE,TRUE,,
2024-01-09 21:11:00+00:00,2024-01-09 17:15:00+00:00,15min,sell,2024-01-09 21:11:00+00:00,2024-01-09 21:15:00+00:00,46777.2657,46909,46187.8,46788.8,FALSE,Buy<0.0759@46909.00Ref47Stop,Buy<0.0759@46187.80Ref48Limit,FALSE,TRUE,,
2024-01-09 21:15:00+00:00,2024-01-08 23:00:00+00:00,1h,buy,"(Timestamp('2024-01-09 03:02:00+0000', tz='UTC'), Timestamp('2024-01-08 23:00:00+0000', tz='UTC'), '1h', 'buy')",2024-01-09 03:02:00+00:00,47119.08987,46833.3,48408.9,47095.9,FALSE,Sell>-0.0350@46833.30Ref20Stop,Sell>-0.0350@48408.90Ref21Limit,FALSE,TRUE,,
2024-01-09 21:15:00+00:00,2024-01-08 23:00:00+00:00,1h,sell,2024-01-09 21:15:00+00:00,2024-01-09 21:15:00+00:00,46810.11013,47095.9,45520.3,46833.3,FALSE,Buy<0.0350@47095.90Ref50Stop,Buy<0.0350@45520.30Ref51Limit,FALSE,TRUE,,
2024-01-09 21:17:00+00:00,2024-01-09 11:00:00+00:00,1h,sell,"(Timestamp('2024-01-09 14:36:00+0000', tz='UTC'), Timestamp('2024-01-09 11:00:00+0000', tz='UTC'), '1h', 'sell')",2024-01-09 21:15:00+00:00,46406.93207,46640,45362.6,46427.1,FALSE,Buy<0.0429@46640.00Ref32Stop,Buy<0.0429@45362.60Ref33Limit,FALSE,TRUE,,
