,cash,fund_shares,fund_value,BTCUSDT_value,BTCUSDT_position_size,BTCUSDT_position_price,BTCUSDT_position_price_orig,BTCUSDT_position_upclosed,BTCUSDT_position_upopened,BTCUSDT_position_adjbase,BTCUSDT_position_updt
2024-01-07 15:47:00+00:00,104158.51496683632,5000000.0,0.020003291795770203,100016.458978851,-0.09415646738405214,43994.2,43994.2,0.0,-0.09415646738405212,,
2024-01-07 15:47:00+00:00,104158.51496683632,5000000.0,0.020003291795770203,100016.458978851,-0.09415646738405214,43994.2,43994.2,0.0,-0.09415646738405212,,
2024-01-07 15:47:00+00:00,104158.51496683632,5000000.0,0.020003291795770203,100016.458978851,-0.09415646738405214,43994.2,43994.2,0.0,-0.09415646738405212,,
2024-01-07 15:47:00+00:00,104158.51496683632,5000000.0,0.020003291795770203,100016.458978851,-0.09415646738405214,43994.2,43994.2,0.0,-0.09415646738405212,,
2024-01-07 15:47:00+00:00,104158.51496683632,5000000.0,0.020003291795770203,100016.458978851,-0.09415646738405214,43994.2,43994.2,0.0,-0.09415646738405212,,
2024-01-07 15:47:00+00:00,104158.51496683632,5000000.0,0.020003291795770203,100016.458978851,-0.09415646738405214,43994.2,43994.2,0.0,-0.09415646738405212,,
2024-01-07 15:47:00+00:00,104158.51496683632,5000000.0,0.020003291795770203,100016.458978851,-0.09415646738405214,43994.2,43994.2,0.0,-0.09415646738405212,,
2024-01-07 15:47:00+00:00,104158.51496683632,5000000.0,0.020003291795770203,100016.458978851,-0.09415646738405214,43994.2,43994.2,0.0,-0.09415646738405212,,
2024-01-07 15:47:00+00:00,104158.51496683632,5000000.0,0.020003291795770203,100016.458978851,-0.09415646738405214,43994.2,43994.2,0.0,-0.09415646738405212,,
2024-01-07 15:47:00+00:00,104158.51496683632,5000000.0,0.020003291795770203,100016.458978851,-0.09415646738405214,43994.2,43994.2,0.0,-0.09415646738405212,,
2024-01-07 15:47:00+00:00,104158.51496683632,5000000.0,0.020003291795770203,100016.458978851,-0.09415646738405214,43994.2,43994.2,0.0,-0.09415646738405212,,
2024-01-07 16:03:00+00:00,100007.00566952565,5000000.0,0.02000140113390513,100007.00566952565,-2.7755575615628914e-17,43994.2,43994.2,0.09415646738405212,0.0,,
2024-01-07 16:03:00+00:00,100007.00566952565,5000000.0,0.02000140113390513,100007.00566952565,-2.7755575615628914e-17,43994.2,43994.2,0.09415646738405212,0.0,,
2024-01-07 16:50:00+00:00,103196.91507897095,5000000.0,0.020000635348725024,100003.17674362512,-0.07265514042759107,43904.80000000001,43994.2,0.0,-0.07265514042759104,,
2024-01-07 17:02:00+00:00,106052.97956369797,5000000.0,0.020002316176445534,100011.58088222767,-0.1378100277260289,43871.799417905415,43904.80000000001,0.0,-0.06515488729843785,,
2024-01-07 17:07:00+00:00,106052.97956369797,5000000.0,0.020000202170620218,100001.01085310109,-0.1378100277260289,43871.799417905415,43904.80000000001,0.0,-0.06515488729843785,,
2024-01-07 17:07:00+00:00,106052.97956369797,5000000.0,0.020000202170620218,100001.01085310109,-0.1378100277260289,43871.799417905415,43904.80000000001,0.0,-0.06515488729843785,,
2024-01-07 17:07:00+00:00,106052.97956369797,5000000.0,0.020000202170620218,100001.01085310109,-0.1378100277260289,43871.799417905415,43904.80000000001,0.0,-0.06515488729843785,,
2024-01-07 17:07:00+00:00,106052.97956369797,5000000.0,0.020000202170620218,100001.01085310109,-0.1378100277260289,43871.799417905415,43904.80000000001,0.0,-0.06515488729843785,,
2024-01-07 17:07:00+00:00,106052.97956369797,5000000.0,0.020000202170620218,100001.01085310109,-0.1378100277260289,43871.799417905415,43904.80000000001,0.0,-0.06515488729843785,,
2024-01-07 17:07:00+00:00,106052.97956369797,5000000.0,0.020000202170620218,100001.01085310109,-0.1378100277260289,43871.799417905415,43904.80000000001,0.0,-0.06515488729843785,,
2024-01-07 17:12:00+00:00,103188.1061382082,5000000.0,0.019998638157917487,99993.19078958743,-0.07265514042759105,43871.799417905415,43871.799417905415,0.06515488729843785,0.0,,
2024-01-07 17:12:00+00:00,103188.1061382082,5000000.0,0.019998638157917487,99993.19078958743,-0.07265514042759105,43871.799417905415,43871.799417905415,0.06515488729843785,0.0,,
2024-01-07 17:22:00+00:00,96789.67307234004,5000000.0,0.019997586111484094,99987.93055742046,0.07265514042759103,44032.9,43871.799417905415,1.3877787807814457e-17,0.07265514042759103,,
2024-01-07 17:22:00+00:00,96789.67307234004,5000000.0,0.019997586111484094,99987.93055742046,0.07265514042759103,44032.9,43871.799417905415,1.3877787807814457e-17,0.07265514042759103,,
2024-01-07 17:22:00+00:00,96789.67307234004,5000000.0,0.019997586111484094,99987.93055742046,0.07265514042759103,44032.9,43871.799417905415,1.3877787807814457e-17,0.07265514042759103,,
2024-01-07 22:31:00+00:00,99979.58248178534,5000000.0,0.01999591649635707,99979.58248178534,-1.3877787807814457e-17,43904.8,44032.9,-0.07265514042759103,-1.3877787807814457e-17,,
2024-01-07 22:31:00+00:00,99979.58248178534,5000000.0,0.01999591649635707,99979.58248178534,-1.3877787807814457e-17,43904.8,44032.9,-0.07265514042759103,-1.3877787807814457e-17,,
