date,ref_date,ref_timeframe,side,original_index,end,limit_price,stop_loss,take_profit,trigger_price,original_order_id,stop_loss_order_id,take_profit_order_id,order_is_active,base_asset_amount
2023-12-29 06:47:00+00:00,2023-12-29 06:15:00+00:00,15min,buy,2023-12-29 06:47:00+00:00,2023-12-29 09:35:00+00:00,42690.32001289231,42639.3,42912.3,42684.8,Buy0.1960@42684.80Ref1StopLimit,Sell-0.1960@42639.30Ref2Stop,Sell-0.1960@42912.30Ref3Limit,True,
2023-12-29 09:35:00+00:00,2023-12-29 06:15:00+00:00,15min,buy,"(Timestamp('2023-12-29 06:47:00+0000', tz='UTC'), Timestamp('2023-12-29 06:15:00+0000', tz='UTC'), '15min', 'buy')",2023-12-29 10:06:00+00:00,42690.32001289231,42639.3,42912.3,42684.8,Buy0.1960@42684.80Ref4StopLimit,Sell-0.1960@42639.30Ref5Stop,Sell-0.1960@42912.30Ref6Limit,True,
2023-12-29 10:06:00+00:00,2023-12-29 06:15:00+00:00,15min,buy,"(Timestamp('2023-12-29 09:35:00+0000', tz='UTC'), Timestamp('2023-12-29 06:15:00+0000', tz='UTC'), '15min', 'buy')",2023-12-31 22:15:00+00:00,42690.32001289231,42639.3,42912.3,42684.8,Buy0.1960@42684.80Ref7StopLimit,Sell-0.1960@42639.30Ref8Stop,Sell-0.1960@42912.30Ref9Limit,True,
2023-12-29 11:17:00+00:00,2023-12-29 06:15:00+00:00,15min,sell,2023-12-29 11:17:00+00:00,2023-12-29 15:18:00+00:00,42633.77998710769,42684.8,42411.8,42639.3,Sell-0.1960@42639.30Ref10StopLimit,Buy0.1960@42684.80Ref11Stop,Buy0.1960@42411.80Ref12Limit,True,
2023-12-29 15:18:00+00:00,2023-12-29 06:15:00+00:00,15min,sell,"(Timestamp('2023-12-29 11:17:00+0000', tz='UTC'), Timestamp('2023-12-29 06:15:00+0000', tz='UTC'), '15min', 'sell')",2023-12-29 15:36:00+00:00,42633.77998710769,42684.8,42411.8,42639.3,Sell-0.1960@42639.30Ref13StopLimit,Buy0.1960@42684.80Ref14Stop,Buy0.1960@42411.80Ref15Limit,True,
2023-12-29 15:36:00+00:00,2023-12-29 06:15:00+00:00,15min,sell,"(Timestamp('2023-12-29 15:18:00+0000', tz='UTC'), Timestamp('2023-12-29 06:15:00+0000', tz='UTC'), '15min', 'sell')",2023-12-31 22:15:00+00:00,42633.77998710769,42684.8,42411.8,42639.3,Sell-0.1960@42639.30Ref16StopLimit,Buy0.1960@42684.80Ref17Stop,Buy0.1960@42411.80Ref18Limit,True,
2023-12-30 02:45:00+00:00,2023-12-30 00:45:00+00:00,15min,buy,2023-12-30 02:45:00+00:00,2023-12-30 14:23:00+00:00,42174.30111563581,42101.8,42491.8,42166.8,Buy0.1379@42166.80Ref19StopLimit,Sell-0.1379@42101.80Ref20Stop,Sell-0.1379@42491.80Ref21Limit,True,
2023-12-30 14:23:00+00:00,2023-12-30 00:45:00+00:00,15min,buy,"(Timestamp('2023-12-30 02:45:00+0000', tz='UTC'), Timestamp('2023-12-30 00:45:00+0000', tz='UTC'), '15min', 'buy')",2024-01-01 16:45:00+00:00,42174.30111563581,42101.8,42491.8,42166.8,Buy0.1379@42166.80Ref22StopLimit,Sell-0.1379@42101.80Ref23Stop,Sell-0.1379@42491.80Ref24Limit,True,
2023-12-30 15:07:00+00:00,2023-12-30 00:45:00+00:00,15min,sell,2023-12-30 15:07:00+00:00,2023-12-30 22:54:00+00:00,42094.298884364194,42166.8,41776.8,42101.8,Sell-0.1379@42101.80Ref25StopLimit,Buy0.1379@42166.80Ref26Stop,Buy0.1379@41776.80Ref27Limit,True,
2023-12-30 22:52:00+00:00,2023-12-30 22:00:00+00:00,15min,buy,2023-12-30 22:52:00+00:00,2023-12-31 00:26:00+00:00,42307.798776254065,42254.9,42544.099999999984,42303.1,Buy0.1890@42303.10Ref28StopLimit,Sell-0.1890@42254.90Ref29Stop,Sell-0.1890@42544.10Ref30Limit,True,
2023-12-30 22:53:00+00:00,2023-12-30 19:00:00+00:00,1h,buy,2023-12-30 22:53:00+00:00,2023-12-31 22:51:00+00:00,42463.17220969811,42340.7,43003.7,42451.2,Buy0.0817@42451.20Ref31StopLimit,Sell-0.0817@42340.70Ref32Stop,Sell-0.0817@43003.70Ref33Limit,True,
2023-12-30 22:54:00+00:00,2023-12-30 00:45:00+00:00,15min,sell,"(Timestamp('2023-12-30 15:07:00+0000', tz='UTC'), Timestamp('2023-12-30 00:45:00+0000', tz='UTC'), '15min', 'sell')",2023-12-30 23:01:00+00:00,42094.298884364194,42166.8,41776.8,42101.8,Sell-0.1379@42101.80Ref34StopLimit,Buy0.1379@42166.80Ref35Stop,Buy0.1379@41776.80Ref36Limit,True,
2023-12-30 23:01:00+00:00,2023-12-30 00:45:00+00:00,15min,sell,"(Timestamp('2023-12-30 22:54:00+0000', tz='UTC'), Timestamp('2023-12-30 00:45:00+0000', tz='UTC'), '15min', 'sell')",2023-12-31 03:45:00+00:00,42094.298884364194,42166.8,41776.8,42101.8,Sell-0.1379@42101.80Ref37StopLimit,Buy0.1379@42166.80Ref38Stop,Buy0.1379@41776.80Ref39Limit,True,
2023-12-31 00:26:00+00:00,2023-12-30 22:00:00+00:00,15min,buy,"(Timestamp('2023-12-30 22:52:00+0000', tz='UTC'), Timestamp('2023-12-30 22:00:00+0000', tz='UTC'), '15min', 'buy')",2023-12-31 01:37:00+00:00,42307.798776254065,42254.9,42544.099999999984,42303.1,Buy0.1890@42303.10Ref40StopLimit,Sell-0.1890@42254.90Ref41Stop,Sell-0.1890@42544.10Ref42Limit,True,
2023-12-31 00:38:00+00:00,2023-12-30 22:00:00+00:00,15min,sell,2023-12-31 00:38:00+00:00,2024-01-02 14:00:00+00:00,42250.201223745935,42303.1,42013.900000000016,42254.9,Sell-0.1890@42254.90Ref43StopLimit,Buy0.1890@42303.10Ref44Stop,Buy0.1890@42013.90Ref45Limit,True,
2023-12-31 01:37:00+00:00,2023-12-30 22:00:00+00:00,15min,buy,"(Timestamp('2023-12-31 00:26:00+0000', tz='UTC'), Timestamp('2023-12-30 22:00:00+0000', tz='UTC'), '15min', 'buy')",2023-12-31 04:37:00+00:00,42307.798776254065,42254.9,42544.099999999984,42303.1,Buy0.1890@42303.10Ref46StopLimit,Sell-0.1890@42254.90Ref47Stop,Sell-0.1890@42544.10Ref48Limit,True,
2023-12-31 02:39:00+00:00,2023-12-31 02:00:00+00:00,15min,buy,2023-12-31 02:39:00+00:00,2024-01-02 18:00:00+00:00,42237.03708760364,42174.0,42524.40000000001,42232.4,Buy0.1586@42232.40Ref49StopLimit,Sell-0.1586@42174.00Ref50Stop,Sell-0.1586@42524.40Ref51Limit,True,
2023-12-31 02:39:00+00:00,2023-12-31 02:15:00+00:00,15min,buy,2023-12-31 02:39:00+00:00,2024-01-02 18:15:00+00:00,42236.94979563195,42170.4,42542.4,42232.4,Buy0.1503@42232.40Ref52StopLimit,Sell-0.1503@42170.40Ref53Stop,Sell-0.1503@42542.40Ref54Limit,True,
2023-12-31 03:45:00+00:00,2023-12-30 00:45:00+00:00,15min,sell,"(Timestamp('2023-12-30 23:01:00+0000', tz='UTC'), Timestamp('2023-12-30 00:45:00+0000', tz='UTC'), '15min', 'sell')",2023-12-31 22:53:00+00:00,42094.298884364194,42166.8,41776.8,42101.8,Sell-0.1379@42101.80Ref55StopLimit,Buy0.1379@42166.80Ref56Stop,Buy0.1379@41776.80Ref57Limit,True,
2023-12-31 04:30:00+00:00,2023-12-31 02:00:00+00:00,15min,sell,2023-12-31 04:30:00+00:00,2023-12-31 22:53:00+00:00,42169.36291239636,42232.4,41881.99999999999,42174.0,Sell-0.1586@42174.00Ref58StopLimit,Buy0.1586@42232.40Ref59Stop,Buy0.1586@41882.00Ref60Limit,True,
2023-12-31 04:30:00+00:00,2023-12-31 02:15:00+00:00,15min,sell,2023-12-31 04:30:00+00:00,2023-12-31 22:53:00+00:00,42165.85020436806,42232.4,41860.4,42170.4,Sell-0.1503@42170.40Ref61StopLimit,Buy0.1503@42232.40Ref62Stop,Buy0.1503@41860.40Ref63Limit,True,
2023-12-31 04:37:00+00:00,2023-12-30 22:00:00+00:00,15min,buy,"(Timestamp('2023-12-31 01:37:00+0000', tz='UTC'), Timestamp('2023-12-30 22:00:00+0000', tz='UTC'), '15min', 'buy')",2023-12-31 05:51:00+00:00,42307.798776254065,42254.9,42544.099999999984,42303.1,Buy0.1890@42303.10Ref64StopLimit,Sell-0.1890@42254.90Ref65Stop,Sell-0.1890@42544.10Ref66Limit,True,
2023-12-31 05:51:00+00:00,2023-12-30 22:00:00+00:00,15min,buy,"(Timestamp('2023-12-31 04:37:00+0000', tz='UTC'), Timestamp('2023-12-30 22:00:00+0000', tz='UTC'), '15min', 'buy')",2024-01-02 14:00:00+00:00,42307.798776254065,42254.9,42544.099999999984,42303.1,Buy0.1890@42303.10Ref67StopLimit,Sell-0.1890@42254.90Ref68Stop,Sell-0.1890@42544.10Ref69Limit,True,
2023-12-31 07:23:00+00:00,2023-12-31 06:00:00+00:00,1h,sell,2023-12-31 07:23:00+00:00,2023-12-31 22:54:00+00:00,42190.482908077276,42284.3,41778.499999999985,42200.0,Sell-0.1066@42200.00Ref70StopLimit,Buy0.1066@42284.30Ref71Stop,Buy0.1066@41778.50Ref72Limit,True,
2023-12-31 09:19:00+00:00,2023-12-30 19:00:00+00:00,1h,sell,2023-12-31 09:19:00+00:00,2024-01-01 00:11:00+00:00,42328.727790301884,42451.2,41788.2,42340.7,Sell-0.0817@42340.70Ref73StopLimit,Buy0.0817@42451.20Ref74Stop,Buy0.0817@41788.20Ref75Limit,True,
