timeframe,date,bull_bear_side,end,internal_high,high_time,internal_low,low_time,movement,atr,movement_start_value,movement_end_value,movement_start_time,movement_end_time
1min,2023-11-16 01:34:00+00:00,BULLISH_TREND,2023-11-16 01:36:00+00:00,37623.0,2023-11-16 01:35:00+00:00,37560.0,2023-11-16 01:34:00+00:00,63.0,33.11357451491243,37560.0,37623.0,2023-11-16 01:33:00+00:00,2023-11-16 01:36:00+00:00
1min,2023-11-16 01:36:00+00:00,SIDE_TREND,2023-11-16 01:40:00+00:00,37648.2,2023-11-16 01:36:00+00:00,37599.8,2023-11-16 01:39:00+00:00,48.39999999999418,30.486133953982094,,,,
1min,2023-11-16 01:40:00+00:00,BEARISH_TREND,2023-11-16 01:53:00+00:00,37648.2,2023-11-16 01:40:00+00:00,37423.3,2023-11-16 01:52:00+00:00,224.89999999999418,27.074382960653093,37648.2,37423.3,2023-11-16 01:36:00+00:00,2023-11-16 01:52:00+00:00
1min,2023-11-16 01:53:00+00:00,SIDE_TREND,2023-11-16 01:55:00+00:00,37489.4,2023-11-16 01:53:00+00:00,37444.7,2023-11-16 01:53:00+00:00,44.700000000004366,34.889482907707844,,,,
1min,2023-11-16 01:55:00+00:00,BEARISH_TREND,2023-11-16 02:03:00+00:00,37648.2,2023-11-16 01:56:00+00:00,37340.1,2023-11-16 02:02:00+00:00,308.09999999999854,32.722082444167114,37648.2,37340.1,2023-11-16 01:36:00+00:00,2023-11-16 02:02:00+00:00
1min,2023-11-16 02:03:00+00:00,SIDE_TREND,2023-11-16 02:10:00+00:00,37451.8,2023-11-16 02:09:00+00:00,37343.3,2023-11-16 02:03:00+00:00,108.5,33.625924920745256,,,,
5min,2023-11-16 02:05:00+00:00,SIDE_TREND,2023-11-16 02:35:00+00:00,37516.4,2023-11-16 02:20:00+00:00,37357.5,2023-11-16 02:05:00+00:00,158.90000000000146,80.25343928205348,,,,
1min,2023-11-16 02:10:00+00:00,BULLISH_TREND,2023-11-16 02:18:00+00:00,37516.4,2023-11-16 02:16:00+00:00,37340.1,2023-11-16 02:11:00+00:00,176.3000000000029,30.932076882331433,37340.1,37516.4,2023-11-16 02:02:00+00:00,2023-11-16 02:21:00+00:00
1min,2023-11-16 02:18:00+00:00,SIDE_TREND,2023-11-16 02:21:00+00:00,37509.9,2023-11-16 02:20:00+00:00,37462.9,2023-11-16 02:18:00+00:00,47.0,28.167267339958,,,,
1min,2023-11-16 02:21:00+00:00,BEARISH_TREND,2023-11-16 02:26:00+00:00,37516.4,2023-11-16 02:21:00+00:00,37419.4,2023-11-16 02:24:00+00:00,97.0,25.313142229630223,37516.4,37419.4,2023-11-16 02:21:00+00:00,2023-11-16 02:29:00+00:00
1min,2023-11-16 02:26:00+00:00,SIDE_TREND,2023-11-16 02:29:00+00:00,37465.3,2023-11-16 02:26:00+00:00,37436.1,2023-11-16 02:27:00+00:00,29.200000000004366,23.1498682020928,,,,
1min,2023-11-16 02:29:00+00:00,BULLISH_TREND,2023-11-16 02:34:00+00:00,37496.6,2023-11-16 02:33:00+00:00,37419.4,2023-11-16 02:29:00+00:00,77.19999999999709,21.904396190814452,37419.4,37496.6,2023-11-16 02:29:00+00:00,2023-11-16 02:34:00+00:00
1min,2023-11-16 02:34:00+00:00,SIDE_TREND,2023-11-16 02:43:00+00:00,37510.9,2023-11-16 02:34:00+00:00,37439.0,2023-11-16 02:37:00+00:00,71.90000000000146,21.641618473624444,,,,
5min,2023-11-16 02:35:00+00:00,BULLISH_TREND,2023-11-16 03:05:00+00:00,37537.9,2023-11-16 03:00:00+00:00,37340.1,2023-11-16 02:35:00+00:00,197.8000000000029,70.08055092074288,37340.1,37537.9,2023-11-16 02:02:00+00:00,2023-11-16 03:02:00+00:00
1min,2023-11-16 02:43:00+00:00,BULLISH_TREND,2023-11-16 03:01:00+00:00,37537.9,2023-11-16 02:58:00+00:00,37419.4,2023-11-16 02:45:00+00:00,118.5,16.30889862950894,37419.4,37537.9,2023-11-16 02:29:00+00:00,2023-11-16 03:02:00+00:00
1min,2023-11-16 03:01:00+00:00,SIDE_TREND,2023-11-16 03:02:00+00:00,37515.4,2023-11-16 03:01:00+00:00,37491.4,2023-11-16 03:01:00+00:00,24.0,13.714162194609226,,,,
