date,ref,triggered,status,valid,date_eos,plen,created_pclose,created_date,created_size,created_price,created_pricelimit,executed_size,executed_remsize,executed_price,executed_value,executed_pnl,executed_psize,executed_pprice,info_pprice,info_order_group_id,signal,reference_date,reference_timeframe,info_custom_type,hidden,size,pannotated,executed_date
2024-01-09 00:38:00+00:00,1,False,Submitted,2024-01-11 12:15:00,2024-01-09 23:59:59.999989,1478,46437.8,2024-01-09 00:37:00,0.04675664582848126,47013.6,47013.6,0,0.04675664582848126,0.0,0.0,0.0,0,0,47029.4733397747,0,Signal01-09.00-37Buy@01-08.20-15/15minEnd01/11.12:15StopLimitnan@47029.47SL46815.60TP48003.60TR47013.60,2024-01-08 20:15:00+00:00,15min,original_order,"params:<backtrader.metabase.AutoInfoClass_OrderBase_Order_BuyOrder object at 0x0000026888CBD570>,
p:<backtrader.metabase.AutoInfoClass_OrderBase_Order_BuyOrder object at 0x0000026888CBD570>,
broker:None,
info:AutoOrderedDict([('pprice', 47029.4733397747), ('order_group_id', 0), ('signal', original_index          2024-01-09 00:37:00+00:00
end                     2024-01-11 12:15:00+00:00
base_asset_amount                             NaN
limit_price                           47029.47334
stop_loss                                 46815.6
take_profit                               48003.6
trigger_price                             47013.6
original_order_id                             NaN
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
Name: (2024-01-09 00:37:00+00:00, 2024-01-08 20:15:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2024-01-09 00:37:00+0000', tz='UTC'), Timestamp('2024-01-08 20:15:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'original_order')]),
comminfo:None,
position:0,
created_exbits:deque([]),
created_p1:0,
created_p2:0,
created_remsize:0,
created_trailamount:None,
created_trailpercent:None,
created_value:0.0,
created_comm:0.0,
created_margin:None,
created_pnl:0.0,
created_psize:0,
created_pprice:0,
executed_pclose:0.0,
executed_exbits:deque([]),
executed_p1:0,
executed_p2:0,
executed_pricelimit:0.0,
executed_trailamount:0.0,
executed_trailpercent:0.0,
executed_comm:0.0,
executed_margin:None,
info_signal_index:(Timestamp('2024-01-09 00:37:00+0000', tz='UTC'), Timestamp('2024-01-08 20:15:00+0000', tz='UTC'), '15min', 'buy')",,,
2024-01-09 00:38:00+00:00,2,False,Submitted,2024-01-11 12:15:00,2024-01-09 23:59:59.999989,1478,46437.8,2024-01-09 00:37:00,-0.04675664582848126,46815.6,46815.6,0,-0.04675664582848126,0.0,0.0,0.0,0,0,47029.4733397747,0,Signal01-09.00-37Buy@01-08.20-15/15minEnd01/11.12:15StopLimitnan@47029.47SL46815.60TP48003.60TR47013.60,2024-01-08 20:15:00+00:00,15min,stop_order,"params:<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000026888CBF940>,
p:<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000026888CBF940>,
broker:None,
info:AutoOrderedDict([('pprice', 47029.4733397747), ('order_group_id', 0), ('signal', original_index          2024-01-09 00:37:00+00:00
end                     2024-01-11 12:15:00+00:00
base_asset_amount                             NaN
limit_price                           47029.47334
stop_loss                                 46815.6
take_profit                               48003.6
trigger_price                             47013.6
original_order_id                             NaN
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
Name: (2024-01-09 00:37:00+00:00, 2024-01-08 20:15:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2024-01-09 00:37:00+0000', tz='UTC'), Timestamp('2024-01-08 20:15:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'stop_order')]),
comminfo:None,
position:0,
created_exbits:deque([]),
created_p1:0,
created_p2:0,
created_remsize:0,
created_trailamount:None,
created_trailpercent:None,
created_value:0.0,
created_comm:0.0,
created_margin:None,
created_pnl:0.0,
created_psize:0,
created_pprice:0,
executed_pclose:0.0,
executed_exbits:deque([]),
executed_p1:0,
executed_p2:0,
executed_pricelimit:0.0,
executed_trailamount:0.0,
executed_trailpercent:0.0,
executed_comm:0.0,
executed_margin:None,
info_signal_index:(Timestamp('2024-01-09 00:37:00+0000', tz='UTC'), Timestamp('2024-01-08 20:15:00+0000', tz='UTC'), '15min', 'buy')",-0.04675664582848126,,
2024-01-09 00:38:00+00:00,3,False,Submitted,2024-01-11 12:15:00,2024-01-09 23:59:59.999989,1478,46437.8,2024-01-09 00:37:00,-0.04675664582848126,48003.6,48003.6,0,-0.04675664582848126,0.0,0.0,0.0,0,0,47029.4733397747,0,Signal01-09.00-37Buy@01-08.20-15/15minEnd01/11.12:15StopLimitnan@47029.47SL46815.60TP48003.60TR47013.60,2024-01-08 20:15:00+00:00,15min,profit,"params:<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000026888CBE0B0>,
p:<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000026888CBE0B0>,
broker:None,
info:AutoOrderedDict([('pprice', 47029.4733397747), ('order_group_id', 0), ('signal', original_index          2024-01-09 00:37:00+00:00
end                     2024-01-11 12:15:00+00:00
base_asset_amount                             NaN
limit_price                           47029.47334
stop_loss                                 46815.6
take_profit                               48003.6
trigger_price                             47013.6
original_order_id                             NaN
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
Name: (2024-01-09 00:37:00+00:00, 2024-01-08 20:15:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2024-01-09 00:37:00+0000', tz='UTC'), Timestamp('2024-01-08 20:15:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'profit')]),
comminfo:None,
position:0,
created_exbits:deque([]),
created_p1:0,
created_p2:0,
created_remsize:0,
created_trailamount:None,
created_trailpercent:None,
created_value:0.0,
created_comm:0.0,
created_margin:None,
created_pnl:0.0,
created_psize:0,
created_pprice:0,
executed_pclose:0.0,
executed_exbits:deque([]),
executed_p1:0,
executed_p2:0,
executed_pricelimit:0.0,
executed_trailamount:0.0,
executed_trailpercent:0.0,
executed_comm:0.0,
executed_margin:None,
info_signal_index:(Timestamp('2024-01-09 00:37:00+0000', tz='UTC'), Timestamp('2024-01-08 20:15:00+0000', tz='UTC'), '15min', 'buy')",-0.04675664582848126,,
2024-01-09 00:38:00+00:00,1,False,Accepted,2024-01-11 12:15:00,2024-01-09 23:59:59.999989,1479,46437.8,2024-01-09 00:37:00,0.04675664582848126,47013.6,47013.6,0,0.04675664582848126,0.0,0.0,0.0,0,0,47029.4733397747,0,Signal01-09.00-37Buy@01-08.20-15/15minEnd01/11.12:15StopLimitnan@47029.47SL46815.60TP48003.60TR47013.60,2024-01-08 20:15:00+00:00,15min,original_order,"params:<backtrader.metabase.AutoInfoClass_OrderBase_Order_BuyOrder object at 0x0000026888CBD570>,
p:<backtrader.metabase.AutoInfoClass_OrderBase_Order_BuyOrder object at 0x0000026888CBD570>,
broker:None,
info:AutoOrderedDict([('pprice', 47029.4733397747), ('order_group_id', 0), ('signal', original_index          2024-01-09 00:37:00+00:00
end                     2024-01-11 12:15:00+00:00
base_asset_amount                             NaN
limit_price                           47029.47334
stop_loss                                 46815.6
take_profit                               48003.6
trigger_price                             47013.6
original_order_id                             NaN
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
Name: (2024-01-09 00:37:00+00:00, 2024-01-08 20:15:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2024-01-09 00:37:00+0000', tz='UTC'), Timestamp('2024-01-08 20:15:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'original_order')]),
comminfo:None,
position:0,
created_exbits:deque([]),
created_p1:0,
created_p2:0,
created_remsize:0,
created_trailamount:None,
created_trailpercent:None,
created_value:0.0,
created_comm:0.0,
created_margin:None,
created_pnl:0.0,
created_psize:0,
created_pprice:0,
executed_pclose:0.0,
executed_exbits:deque([]),
executed_p1:0,
executed_p2:0,
executed_pricelimit:0.0,
executed_trailamount:0.0,
executed_trailpercent:0.0,
executed_comm:0.0,
executed_margin:None,
info_signal_index:(Timestamp('2024-01-09 00:37:00+0000', tz='UTC'), Timestamp('2024-01-08 20:15:00+0000', tz='UTC'), '15min', 'buy')",,None,
2024-01-09 00:38:00+00:00,2,False,Accepted,2024-01-11 12:15:00,2024-01-09 23:59:59.999989,1479,46437.8,2024-01-09 00:37:00,-0.04675664582848126,46815.6,46815.6,0,-0.04675664582848126,0.0,0.0,0.0,0,0,47029.4733397747,0,Signal01-09.00-37Buy@01-08.20-15/15minEnd01/11.12:15StopLimitnan@47029.47SL46815.60TP48003.60TR47013.60,2024-01-08 20:15:00+00:00,15min,stop_order,"params:<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000026888CBF940>,
p:<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000026888CBF940>,
broker:None,
info:AutoOrderedDict([('pprice', 47029.4733397747), ('order_group_id', 0), ('signal', original_index          2024-01-09 00:37:00+00:00
end                     2024-01-11 12:15:00+00:00
base_asset_amount                             NaN
limit_price                           47029.47334
stop_loss                                 46815.6
take_profit                               48003.6
trigger_price                             47013.6
original_order_id                             NaN
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
Name: (2024-01-09 00:37:00+00:00, 2024-01-08 20:15:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2024-01-09 00:37:00+0000', tz='UTC'), Timestamp('2024-01-08 20:15:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'stop_order')]),
comminfo:None,
position:0,
created_exbits:deque([]),
created_p1:0,
created_p2:0,
created_remsize:0,
created_trailamount:None,
created_trailpercent:None,
created_value:0.0,
created_comm:0.0,
created_margin:None,
created_pnl:0.0,
created_psize:0,
created_pprice:0,
executed_pclose:0.0,
executed_exbits:deque([]),
executed_p1:0,
executed_p2:0,
executed_pricelimit:0.0,
executed_trailamount:0.0,
executed_trailpercent:0.0,
executed_comm:0.0,
executed_margin:None,
info_signal_index:(Timestamp('2024-01-09 00:37:00+0000', tz='UTC'), Timestamp('2024-01-08 20:15:00+0000', tz='UTC'), '15min', 'buy')",-0.04675664582848126,None,
2024-01-09 00:38:00+00:00,3,False,Accepted,2024-01-11 12:15:00,2024-01-09 23:59:59.999989,1479,46437.8,2024-01-09 00:37:00,-0.04675664582848126,48003.6,48003.6,0,-0.04675664582848126,0.0,0.0,0.0,0,0,47029.4733397747,0,Signal01-09.00-37Buy@01-08.20-15/15minEnd01/11.12:15StopLimitnan@47029.47SL46815.60TP48003.60TR47013.60,2024-01-08 20:15:00+00:00,15min,profit,"params:<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000026888CBE0B0>,
p:<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000026888CBE0B0>,
broker:None,
info:AutoOrderedDict([('pprice', 47029.4733397747), ('order_group_id', 0), ('signal', original_index          2024-01-09 00:37:00+00:00
end                     2024-01-11 12:15:00+00:00
base_asset_amount                             NaN
limit_price                           47029.47334
stop_loss                                 46815.6
take_profit                               48003.6
trigger_price                             47013.6
original_order_id                             NaN
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
Name: (2024-01-09 00:37:00+00:00, 2024-01-08 20:15:00+00:00, 15min, buy), dtype: object), ('signal_index', (Timestamp('2024-01-09 00:37:00+0000', tz='UTC'), Timestamp('2024-01-08 20:15:00+0000', tz='UTC'), '15min', 'buy')), ('custom_type', 'profit')]),
comminfo:None,
position:0,
created_exbits:deque([]),
created_p1:0,
created_p2:0,
created_remsize:0,
created_trailamount:None,
created_trailpercent:None,
created_value:0.0,
created_comm:0.0,
created_margin:None,
created_pnl:0.0,
created_psize:0,
created_pprice:0,
executed_pclose:0.0,
executed_exbits:deque([]),
executed_p1:0,
executed_p2:0,
executed_pricelimit:0.0,
executed_trailamount:0.0,
executed_trailpercent:0.0,
executed_comm:0.0,
executed_margin:None,
info_signal_index:(Timestamp('2024-01-09 00:37:00+0000', tz='UTC'), Timestamp('2024-01-08 20:15:00+0000', tz='UTC'), '15min', 'buy')",-0.04675664582848126,None,
2024-01-09 00:39:00+00:00,4,False,Submitted,2024-01-19 15:00:00,2024-01-09 23:59:59.999989,1479,46358.2,2024-01-09 00:38:00,0.03499074294423603,47095.9,47095.9,0,0.03499074294423603,0.0,0.0,0.0,0,0,47119.089873508456,1,Signal01-09.00-38Buy@01-08.23-00/1hEnd01/19.15:00StopLimitnan@47119.09SL46833.30TP48408.90TR47095.90,2024-01-08 23:00:00+00:00,1h,original_order,"params:<backtrader.metabase.AutoInfoClass_OrderBase_Order_BuyOrder object at 0x0000026888D13D90>,
p:<backtrader.metabase.AutoInfoClass_OrderBase_Order_BuyOrder object at 0x0000026888D13D90>,
broker:None,
info:AutoOrderedDict([('pprice', 47119.089873508456), ('order_group_id', 1), ('signal', original_index          2024-01-09 00:38:00+00:00
end                     2024-01-19 15:00:00+00:00
limit_price                          47119.089874
stop_loss                                 46833.3
take_profit                               48408.9
trigger_price                             47095.9
original_order_id                             NaN
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
base_asset_amount                             NaN
Name: (2024-01-09 00:38:00+00:00, 2024-01-08 23:00:00+00:00, 1h, buy), dtype: object), ('signal_index', (Timestamp('2024-01-09 00:38:00+0000', tz='UTC'), Timestamp('2024-01-08 23:00:00+0000', tz='UTC'), '1h', 'buy')), ('custom_type', 'original_order')]),
comminfo:None,
position:0,
created_exbits:deque([]),
created_p1:0,
created_p2:0,
created_remsize:0,
created_trailamount:None,
created_trailpercent:None,
created_value:0.0,
created_comm:0.0,
created_margin:None,
created_pnl:0.0,
created_psize:0,
created_pprice:0,
executed_pclose:0.0,
executed_exbits:deque([]),
executed_p1:0,
executed_p2:0,
executed_pricelimit:0.0,
executed_trailamount:0.0,
executed_trailpercent:0.0,
executed_comm:0.0,
executed_margin:None,
info_signal_index:(Timestamp('2024-01-09 00:38:00+0000', tz='UTC'), Timestamp('2024-01-08 23:00:00+0000', tz='UTC'), '1h', 'buy')",,,
2024-01-09 00:39:00+00:00,5,False,Submitted,2024-01-19 15:00:00,2024-01-09 23:59:59.999989,1479,46358.2,2024-01-09 00:38:00,-0.03499074294423603,46833.3,46833.3,0,-0.03499074294423603,0.0,0.0,0.0,0,0,47119.089873508456,1,Signal01-09.00-38Buy@01-08.23-00/1hEnd01/19.15:00StopLimitnan@47119.09SL46833.30TP48408.90TR47095.90,2024-01-08 23:00:00+00:00,1h,stop_order,"params:<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000026888CBD7B0>,
p:<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000026888CBD7B0>,
broker:None,
info:AutoOrderedDict([('pprice', 47119.089873508456), ('order_group_id', 1), ('signal', original_index          2024-01-09 00:38:00+00:00
end                     2024-01-19 15:00:00+00:00
limit_price                          47119.089874
stop_loss                                 46833.3
take_profit                               48408.9
trigger_price                             47095.9
original_order_id                             NaN
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
base_asset_amount                             NaN
Name: (2024-01-09 00:38:00+00:00, 2024-01-08 23:00:00+00:00, 1h, buy), dtype: object), ('signal_index', (Timestamp('2024-01-09 00:38:00+0000', tz='UTC'), Timestamp('2024-01-08 23:00:00+0000', tz='UTC'), '1h', 'buy')), ('custom_type', 'stop_order')]),
comminfo:None,
position:0,
created_exbits:deque([]),
created_p1:0,
created_p2:0,
created_remsize:0,
created_trailamount:None,
created_trailpercent:None,
created_value:0.0,
created_comm:0.0,
created_margin:None,
created_pnl:0.0,
created_psize:0,
created_pprice:0,
executed_pclose:0.0,
executed_exbits:deque([]),
executed_p1:0,
executed_p2:0,
executed_pricelimit:0.0,
executed_trailamount:0.0,
executed_trailpercent:0.0,
executed_comm:0.0,
executed_margin:None,
info_signal_index:(Timestamp('2024-01-09 00:38:00+0000', tz='UTC'), Timestamp('2024-01-08 23:00:00+0000', tz='UTC'), '1h', 'buy')",-0.03499074294423603,,
2024-01-09 00:39:00+00:00,6,False,Submitted,2024-01-19 15:00:00,2024-01-09 23:59:59.999989,1479,46358.2,2024-01-09 00:38:00,-0.03499074294423603,48408.899999999994,48408.899999999994,0,-0.03499074294423603,0.0,0.0,0.0,0,0,47119.089873508456,1,Signal01-09.00-38Buy@01-08.23-00/1hEnd01/19.15:00StopLimitnan@47119.09SL46833.30TP48408.90TR47095.90,2024-01-08 23:00:00+00:00,1h,profit,"params:<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000026888CBF760>,
p:<backtrader.metabase.AutoInfoClass_OrderBase_Order_SellOrder object at 0x0000026888CBF760>,
broker:None,
info:AutoOrderedDict([('pprice', 47119.089873508456), ('order_group_id', 1), ('signal', original_index          2024-01-09 00:38:00+00:00
end                     2024-01-19 15:00:00+00:00
limit_price                          47119.089874
stop_loss                                 46833.3
take_profit                               48408.9
trigger_price                             47095.9
original_order_id                             NaN
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
base_asset_amount                             NaN
Name: (2024-01-09 00:38:00+00:00, 2024-01-08 23:00:00+00:00, 1h, buy), dtype: object), ('signal_index', (Timestamp('2024-01-09 00:38:00+0000', tz='UTC'), Timestamp('2024-01-08 23:00:00+0000', tz='UTC'), '1h', 'buy')), ('custom_type', 'profit')]),
comminfo:None,
position:0,
created_exbits:deque([]),
created_p1:0,
created_p2:0,
created_remsize:0,
created_trailamount:None,
created_trailpercent:None,
created_value:0.0,
created_comm:0.0,
created_margin:None,
created_pnl:0.0,
created_psize:0,
created_pprice:0,
executed_pclose:0.0,
executed_exbits:deque([]),
executed_p1:0,
executed_p2:0,
executed_pricelimit:0.0,
executed_trailamount:0.0,
executed_trailpercent:0.0,
executed_comm:0.0,
executed_margin:None,
info_signal_index:(Timestamp('2024-01-09 00:38:00+0000', tz='UTC'), Timestamp('2024-01-08 23:00:00+0000', tz='UTC'), '1h', 'buy')",-0.03499074294423603,,
2024-01-09 00:39:00+00:00,4,False,Accepted,2024-01-19 15:00:00,2024-01-09 23:59:59.999989,1480,46358.2,2024-01-09 00:38:00,0.03499074294423603,47095.9,47095.9,0,0.03499074294423603,0.0,0.0,0.0,0,0,47119.089873508456,1,Signal01-09.00-38Buy@01-08.23-00/1hEnd01/19.15:00StopLimitnan@47119.09SL46833.30TP48408.90TR47095.90,2024-01-08 23:00:00+00:00,1h,original_order,"params:<backtrader.metabase.AutoInfoClass_OrderBase_Order_BuyOrder object at 0x0000026888D13D90>,
p:<backtrader.metabase.AutoInfoClass_OrderBase_Order_BuyOrder object at 0x0000026888D13D90>,
broker:None,
info:AutoOrderedDict([('pprice', 47119.089873508456), ('order_group_id', 1), ('signal', original_index          2024-01-09 00:38:00+00:00
end                     2024-01-19 15:00:00+00:00
limit_price                          47119.089874
stop_loss                                 46833.3
take_profit                               48408.9
trigger_price                             47095.9
original_order_id                             NaN
stop_loss_order_id                            NaN
take_profit_order_id                          NaN
order_is_active                             False
base_asset_amount                             NaN
Name: (2024-01-09 00:38:00+00:00, 2024-01-08 23:00:00+00:00, 1h, buy), dtype: object), ('signal_index', (Timestamp('2024-01-09 00:38:00+0000', tz='UTC'), Timestamp('2024-01-08 23:00:00+0000', tz='UTC'), '1h', 'buy')), ('custom_type', 'original_order')]),
comminfo:None,
position:0,
created_exbits:deque([]),
created_p1:0,
created_p2:0,
created_remsize:0,
created_trailamount:None,
created_trailpercent:None,
created_value:0.0,
created_comm:0.0,
created_margin:None,
created_pnl:0.0,
created_psize:0,
created_pprice:0,
executed_pclose:0.0,
executed_exbits:deque([]),
executed_p1:0,
executed_p2:0,
executed_pricelimit:0.0,
executed_trailamount:0.0,
executed_trailpercent:0.0,
executed_comm:0.0,
executed_margin:None,
info_signal_index:(Timestamp('2024-01-09 00:38:00+0000', tz='UTC'), Timestamp('2024-01-08 23:00:00+0000', tz='UTC'), '1h', 'buy')",,None,
